Index,Population,y,x,Altitude,Nr_Total,Nr_High,Nr_Low,FreqHigh,FreqLow,PresenceHigh,PresenceLow
1,Hauderes,46.081983,7.5175,1595,7,2,5,0.285714286,0.714285714,1,1
2,L_Ecot,45.38554,7.09969,2090,4,4,0,1,0,1,0
3,Lumini,45.6323,10.78035,1051,25,11,14,0.44,0.56,1,1
4,Saviese,46.235256,7.340141,746,21,3,18,0.142857143,0.857142857,1,1
5,Weissenbach,46.78907,11.34521,1774,9,9,0,1,0,1,0
6,Liddes,45.984433,7.196783,1530,9,7,2,0.777777778,0.222222222,1,1
7,Lac_de_Mauvoisin,45.992624,7.344463,2280,23,23,0,1,0,1,0
9,Forte_San_Marco_High,45.60342,10.83646,500,26,8,18,0.307692308,0.692307692,1,1
12,Alpe_Lago,46.547222,8.666667,2150,10,10,0,1,0,1,0
13,Brison,45.74356,5.88787,206,9,9,0,1,0,1,0
14,Nevache,45.02664,6.60178,1871,7,7,0,1,0,1,0
18,La_Dole,46.424684,6.104079,1456,5,5,0,1,0,1,0
19,Rifugio_Graziani,45.79879,10.89384,1566,28,18,10,0.642857143,0.357142857,1,1
20,Mustair_Low,46.63216,10.446993,1300,3,3,0,1,0,1,0
21,Monte_Caslano,45.96053,8.88331,332,8,8,0,1,0,1,0
22,Pierre_a_Coutiau,46.580821,6.28802,1608,7,7,0,1,0,1,0
24,Mattmark,46.036944,7.9525,2340,7,7,0,1,0,1,0
26,Bourg_St_Pierre,45.946183,7.212333,1780,6,5,1,0.833333333,0.166666667,1,1
28,Legn_Marsch_Scuol,46.81497,10.353396,1080-1280,9,5,4,0.555555556,0.444444444,1,1
29,Rochers_de_Naye,46.431069,6.979597,1975,8,8,0,1,0,1,0
30,Kastelbell,46.635661,10.912238,690-770,9,7,2,0.777777778,0.222222222,1,1
31,Ceuse,44.49908,5.9504,1803,19,16,3,0.842105263,0.157894737,1,1
32,Saxon,46.140278,7.164058,570,20,5,15,0.25,0.75,1,1
33,Challer,46.341447,7.595151,2062,18,16,2,0.888888889,0.111111111,1,1
34,Enges,47.047807,7.01292,673,7,1,6,0.142857143,0.857142857,1,1
36,Col_de_Sonlomont,46.44319,7.063911,1650,5,5,0,1,0,1,0
38,Saint_Paul_sur_Ubaye,44.5947,6.89997,2343,8,8,0,1,0,1,0
41,Santis,47.25076,9.44518,1512,8,6,2,0.75,0.25,1,1
42,Biasca,46.35935,8.98127,670,4,4,0,1,0,1,0
43,Monte_San_Salvatore,45.97535,8.94437,828,9,9,0,1,0,1,0
44,Mot_Ajuz,46.784473,10.349123,2270-2450,4,4,0,1,0,1,0
45,Tsanfleuron,46.322755,7.296057,2110,24,24,0,1,0,1,0
49,Umblin,46.70694,10.08652,1480-1535,10,10,0,1,0,1,0
50,San_Carlo,46.42425,8.51802,1420,7,7,0,1,0,1,0
52,Pont,45.52536,7.19137,2130,9,9,0,1,0,1,0
55,L_Aupateri,46.496083,7.139252,1530,7,3,4,0.428571429,0.571428571,1,1
56,Bayasse,44.30767,6.74649,1868,8,8,0,1,0,1,0
59,Staziun,46.766954,10.108454,1440-1500,7,6,1,0.857142857,0.142857143,1,1
60,Val_da_la_Stura,46.775287,10.425932,2160-2365,8,8,0,1,0,1,0
61,Orsieres,46.029533,7.140733,990,9,9,0,1,0,1,0
62,Chlingenstock,46.957393,8.660853,1850,8,8,0,1,0,1,0
63,Simplonpass,46.206111,8.074444,2280,9,9,0,1,0,1,0
65,Geteillon,46.35685,7.005067,2010,9,9,0,1,0,1,0
67,Tschessa_Granda,46.619239,9.995342,1700,8,7,1,0.875,0.125,1,1
68,Gandispitz,46.91725,8.512567,2013,6,6,0,1,0,1,0
69,Abries,44.78648,6.93739,1670,5,4,1,0.8,0.2,1,1
70,Gornergrat,45.979444,7.776111,2740,9,9,0,1,0,1,0
71,Varen,46.318317,7.620999,768,22,5,17,0.227272727,0.772727273,1,1
72,Lago_di_Loie,45.586816,7.412529,2365,8,8,0,1,0,1,0
74,Polsa,45.76645,10.93891,1350,20,11,9,0.55,0.45,1,1
75,Pass_da_Costainas,46.644369,10.371627,2260-2340,3,3,0,1,0,1,0
76,Val_di_Susa,45.098,7.343,880,9,9,0,1,0,1,0
77,Le_Moleson,46.536971,7.003558,1820,9,8,1,0.888888889,0.111111111,1,1
78,Pontresina,46.469404,10.01432,2520-2545,5,5,0,1,0,1,0
81,Lac_du_Mont_Cenis,45.2094,6.96983,1938,9,9,0,1,0,1,0
82,Uert,46.782457,10.11905,2090-2115,5,5,0,1,0,1,0
85,Schwarzenmatt,46.634093,7.349496,1220,8,6,2,0.75,0.25,1,1
86,Lago_di_Fedaia,46.46606,11.85929,2220,8,7,1,0.875,0.125,1,1
90,Les_Chapelles,45.5873,6.71397,1432,6,4,2,0.666666667,0.333333333,1,1
91,Twann,47.093786,7.152245,490,5,3,2,0.6,0.4,1,1
93,Poschiavo,46.39029,10.10207,1874,8,6,2,0.75,0.25,1,1
94,Forte_San_Marco_Low,45.58667,10.82507,235,23,5,18,0.217391304,0.782608696,1,1
95,Pralognan_la_Vanoise,45.31401,6.68027,1986,8,8,0,1,0,1,0
96,Chalbermatten,46.008333,7.69,2100,8,8,0,1,0,1,0
97,Lac_des_Mesches,44.07035,7.51683,1453,16,15,1,0.9375,0.0625,1,1
98,Laschadurella,46.711559,10.167212,2340-2410,6,5,1,0.833333333,0.166666667,1,1
100,Thumel,45.53495,7.10119,1940,9,9,0,1,0,1,0
101,Hannig,46.110278,7.908889,2200,5,5,0,1,0,1,0
102,Sinlio,46.12195,7.039067,900,7,7,0,1,0,1,0
105,Euseigne,46.162883,7.440933,1020,7,1,6,0.142857143,0.857142857,1,1
106,Rochers_des_Rayes,46.527342,7.20813,1790,6,6,0,1,0,1,0
107,La_Sagne,44.81554,6.55708,1016,8,8,0,1,0,1,0
109,Onnens,46.84458,6.684666,488,7,4,3,0.571428571,0.428571429,1,1
110,Giand_Alva,46.411879,9.78258,2430-2440,8,8,0,1,0,1,0
112,Bre,46.015366,8.997327,843,8,8,0,1,0,1,0
