Population	Motherline	Flowering_date(d)	Rosette_diameter(mm)	N_leaves_on_stalk	Stalk_width(mm)	Stalk_hight(mm)	Calyx_width(mm)	Petal_area(mm)	Petal_length(mm)	Petal_width(mm)	Flower_length(mm)	Bract_length(mm)	Bract_width(mm)	Calyx_length(mm)	Ovary_length(mm)	Ovary_width(mm)	Ecotype
Unterstalden	Unt_1	34	75.9	10	1.7	366	2.7	42.1	9.2	6.9	14.1	8.8	4.6	14.8	5	1.5	Dc_low
Unterstalden	Unt_1	34	95.2	8	1.3	351	3.1	40	8.7	6.6	12.3	6.2	3.2	13.5	4.3	1.5	Dc_low
Unterstalden	Unt_1	43	64.7	8	1.2	216	2.4	47.5	9.4	7.2	11.4	6.2	3.4	11.2	3.9	1.5	Dc_low
Unterstalden	Unt_2	34	89	8	1.6	450	3.6	50.8	9.8	7.7	15.3	8.2	4.1	14.1	4.4	1.5	Dc_low
Unterstalden	Unt_2	39	95.1	10	1.3	335	3.5	57.4	10.1	8.3	13.6	8.2	3.8	14.4	5.2	1.6	Dc_low
Unterstalden	Unt_2	32	81.2	8	1.9	346	2.9	51.1	9.6	7.8	13.5	7.7	4.6	13.3	4.6	1.6	Dc_low
Unterstalden	Unt_2	36	111.1	8	1.7	410	4	45.1	9.8	7.2	12.8	8	5.1	12.5	5.3	1.5	Dc_low
Unterstalden	Unt_3	36	114.5	10	1.8	465	2.6	42.6	9.1	7.3	14.5	8.5	4	15.3	4.4	1.8	Dc_low
Unterstalden	Unt_3	46	104.5	14	1.2	570	3.6	50.3	9.9	7.8	13.9	6.9	3.7	14.2	4.8	1.8	Dc_low
Unterstalden	Unt_3	39	106.8	12	1.8	538	3.3	53.6	9.8	8.4	13.4	7.9	4.3	14.8	5.1	1.5	Dc_low
Unterstalden	Unt_4	46	88	10	1.5	370	2.9	43.9	10.1	6.5	13.3	6.6	3.6	13.7	4.8	1.4	Dc_low
Unterstalden	Unt_4	36	120.5	12	1.7	411	2.8	46	9.5	7	15.3	7.2	4.2	14.6	4.7	1.6	Dc_low
Unterstalden	Unt_4	39	92.2	10	1.5	321	3	58.3	10.8	7.3	15.1	7.5	3.6	14.4	5	1.5	Dc_low
Unterstalden	Unt_5	32	83.4	8	2.2	303	2.6	35.1	7.9	6.6	12.8	6.6	4.1	11.8	4.1	1.3	Dc_low
Unterstalden	Unt_5	48	105.3	12	1.5	471	2.4	55.5	10.5	7.9	14.6	5.8	3.7	13	4.8	1.5	Dc_low
Unterstalden	Unt_5	43	81.6	12	1.6	355	2.5	18.3	6.2	4.1	11.7	6.9	2.5	12	4.2	1.6	Dc_low
Unterstalden	Unt_6	39	106.4	10	1.8	453	3.5	41.2	8.2	6.9	14.7	7.6	4.3	13.4	4.4	1.6	Dc_low
Unterstalden	Unt_6	57	95.2	10	1.8	412	3.5	29.6	6.7	6.4	12.5	5.1	3	12.2	3.6	1.5	Dc_low
Unterstalden	Unt_6	46	76.6	12	1.3	440	3.2	54.2	8.9	8.7	16.1	7.2	4.1	14.9	4.5	1.8	Dc_low
Unterstalden	Unt_7	39	90.4	10	1.3	256	2.6	52.9	10	8	13.2	6.9	3.9	13.6	5.1	1.4	Dc_low
Unterstalden	Unt_7	46	83.8	10	1.3	420	3.4	52.4	9.2	8.5	14	6.1	3.7	13.8	5.2	1.7	Dc_low
Unterstalden	Unt_8	36	98.8	8	1.8	309	3.3	47.7	9.3	8.3	14	8.2	5.3	13.3	4.8	1.7	Dc_low
Unterstalden	Unt_8	41	96.4	10	1.6	475	2.9	36.2	7.7	7.1	13.7	7.7	3.8	13.8	4.5	1.7	Dc_low
Unterstalden	Unt_9	34	96.7	10	1.7	396	3.1	38.3	7.8	7.4	13.1	7.9	5.4	12.4	4.1	1.4	Dc_low
