Population	Motherline	Flowering_date(d)	Rosette_diameter(mm)	N_leaves_on_stalk	Stalk_width(mm)	Stalk_hight(mm)	Calyx_width(mm)	Petal_area(mm)	Petal_length(mm)	Petal_width(mm)	Flower_length(mm)	Bract_length(mm)	Bract_width(mm)	Calyx_length(mm)	Ovary_length(mm)	Ovary_width(mm)	Ecotype
Saxon	Sax_1	21	65.6	2	1.3	16.2	4	48.9	8.5	8.4	18.1	5.9	4.9	17.3	6.5	1.9	Ds_low
Saxon	Sax_1	22	82.8	8	1.1	181	3.6	68.8	9.8	8.7	19.7	5.3	4.9	18.8	7.017142857	1.6	Ds_low
Saxon	Sax_2	25	116	6	1.3	259	3.6	58.3	9.1	8.6	19.6	5.2	4.7	16.7	7.7	2.5	Ds_low
Saxon	Sax_2	25	99	6	1.3	174	4.3	52.8	9	7.3	24.5	6.3	4.2	21.1	6.5	1.5	Ds_low
Saxon	Sax_2	28	134.7	8	1.2	221	4.9	52.9	10.3	7.5	24.7	5.9	4.9	21.4	7.017142857	1.4	Ds_low
Saxon	Sax_2	37	70.1	6	0.9	200	3.7	62.9	9.9	8.8	26	5.9	5	23.3	7.5	1.7	Ds_low
Saxon	Sax_3	28	92	6	1.1	254	3.9	60.6	10.6	8.2	18.4	5.9	4	18.6	7.2	2.2	Ds_low
Saxon	Sax_3	35	136.4	8	1.3	245	4	77.8	10.8	10	21.8	5.9	5.7	17.8	5.7	2	Ds_low
Saxon	Sax_3	37	72.6	6	1	131	3.7	21.3	5.1	5.2	20.7	5.5	3.7	16.8	5.8	1.9	Ds_low
Saxon	Sax_3	24	122.6	8	1.4	267	3.5	79.1	12.2	9.5	23.3	5.2	4.2	23.8	8.2	1.9	Ds_low
Saxon	Sax_4	35	48	6	1	158	3.2	40.4	7	7.3	20.6	4.3	3.6	19.5	5.1	1.3	Ds_low
Saxon	Sax_4	39	72	6	0.9	175	3.4	59.8	9.3	8.8	24.5	6.3	3.3	22.7	7.2	2	Ds_low
Saxon	Sax_4	32	65.8	6	1.2	195	3.2	55.6	9.3	7.9	19.7	5.9	4.2	21.7	7.017142857	1.6	Ds_low
Saxon	Sax_5	35	139.2	8	1	219	3.8	80.2	10.9	9.3	25.2	4.4	3.8	20.2	7.017142857	1.8	Ds_low
Saxon	Sax_5	35	92.1	8	1.3	262	4	58.5	10.6	8.2	18.8	5.8	4.9	20.4	7.017142857	1.6	Ds_low
Saxon	Sax_5	32	101.9	10	1.5	281	3.8	60.4	10	8.4	19.5	6.2	4	17.5	6.5	1.6	Ds_low
Saxon	Sax_5	35	95.3	8	1.4	269	3.8	46.3	8.1	7.5	20.4	5.8	4.6	20.3	8.4	2.2	Ds_low
Saxon	Sax_5	35	123	8	1.3	256	3.7	45.2	9	8.1	20.3	5.5	4	19.2	7.8	1.7	Ds_low
Saxon	Sax_5	35	123.8	10	1.7	268	4	71.8	10.7	9.8	21.9	5.8	5.2	22.7	6.1	1.2	Ds_low
Saxon	Sax_6	25	101	6	1.4	241	3.9	63.2	9.6	8.3	24.9	6.7	5.8	22.6	6.4	2	Ds_low
Saxon	Sax_6	32	99.4	8	1.2	204	3.8	43	8.2	7.5	20.7	5.7	4.9	19.6	7.6	2.4	Ds_low
Saxon	Sax_6	21	99.4	6	1.6	200	3.8	84.8	11.4	10.4	28.5	7.3	6.9	24	7.4	2.5	Ds_low
Saxon	Sax_6	28	97.7	8	1.4	277	3.8	48.8	9.5	7.9	21.6	6.7	4.4	22	7.017142857	2.5	Ds_low
Saxon	Sax_7	42	64.3	8	0.8	189	3.5	38.9	9	6.7	19.8	7	4.7	18.5	7.017142857	1.7	Ds_low
Saxon	Sax_7	37	84.2	8	1	218	3.6	64.8	9.3	9.5	21	6.9	5.6	22.3	6.8	2.6	Ds_low
Saxon	Sax_7	32	111.6	8	1	253	3.7	65.2	10.4	8.8	18.1	4.7	3.7	19.3	7.017142857	1.8	Ds_low
Saxon	Sax_8	32	117.7	6	1.4	261	4.3	87.3	10	10.9	24	5.1	5	21	6.8	1.8	Ds_low
Saxon	Sax_8	32	85.15	8	1.4	262	4.5	43.3	7.3	7.4	19.6	6.1	5.7	19	8.1	2.5	Ds_low
Saxon	Sax_8	21	96.2	4	1.5	122	4.4	65.4	12	8.2	22.1	5.6	4.3	20.3	0.7	1.8	Ds_low
Saxon	Sax_8	25	87.9	4	0.9	119	4.1	103.2	12.6	11.6	22.8	5.3	5.2	20.4	7.8	2.8	Ds_low
Saxon	Sax_8	32	94.9	6	1.7	274	4.2	72.5	11.6	9	23.3	5.9	5.7	22.1	8	2.2	Ds_low
Saxon	Sax_9	22	108.6	6	1	201	4	62.4	10.4	8.5	21.9	6.3	4.8	20.6	6.2	2.1	Ds_low
Saxon	Sax_9	28	102.2	6	1	178	3.9	44.2	7.5	7.4	20.2	6.3	5	19.4	8.2	2	Ds_low
Saxon	Sax_9	28	89.5	6	0.9	178	4	72.8	9.9	9.1	22.9	6.3	4.6	21.5	9.4	2	Ds_low
Saxon	Sax_9	32	99.9	6	0.9	181	3.7	42.8	8.1	6.6	21.2	5.9	4.6	20.8	7.3	2.5	Ds_low
Saxon	Sax_9	23	118.3	6	1	186	4.1	72.4	10.1	10.5	21.7	6.3	5.5	21.3	8.1	2.8	Ds_low
Saxon	Sax_9	25	102.2	6	1	177	4.4	58.5	8.4	9.6	20.9	5.8	5.9	18.5	7.2	1.9	Ds_low
Saxon	Sax_9	28	73.5	6	0.8	139	3.7	32.9	6.4	6	20	5.7	4.4	17.2	6.8	2.2	Ds_low
Saxon	Sax_10	21	98.1	6	1.2	213	4.1	65.3	9.3	9.5	26.2	6.9	5.1	22.4	6.7	2.6	Ds_low
Saxon	Sax_10	24	110.9	6	1.1	188	4	78.9	9.9	10.9	26.7	6.2	4.7	22.5	8	2	Ds_low
Saxon	Sax_10	25	109.4	6	1.1	198	3.6	34.6	7.3	6.1	20.6	5.7	3.9	20.4	7.4	1.9	Ds_low
Saxon	Sax_10	25	93.5	4	1.1	164	3.5	49.5	8.7	7.3	23	5.2	3.7	21.4	7.017142857	1.1	Ds_low
Saxon	Sax_10	24	101.2	6	1	178	3.6	62.2	9.1	9.3	22.7	5.9	5.3	20.3	8	2.6	Ds_low
Saxon	Sax_10	25	118.1	4	0.8	184	3.9	47.5	8.2	7	20.5	6.1	5.4	21.8	6.5	2.1	Ds_low
Varen	Var_1	12	95.9	8	1.4	199	4.5	63.1	8.3	9.8	20.2	5.6	4.8	19	7.2	2.6	Ds_low
Varen	Var_1	21	95.8	6	1.1	214	4.3	55.5	9.2	7.9	22.5	4.9	4.2	18.8	6	2.6	Ds_low
Varen	Var_2	14	87.6	6	1.2	134.5	5.2	42.1	7.1	7	22.8	4.9	4.7	19.8	7.7	3.6	Ds_low
Varen	Var_2	16	44.4	8	1.4	200	4.7	62.9	10.6	8.1	20.8	5.7	5.3	21.3	7.4	2.2	Ds_low
Varen	Var_2	22	61.5	4	2.1	45.9	3	24.4	6.8	4.1	16.7	4.8	3.8	15.4	5.5	1.9	Ds_low
Varen	Var_3	11	89.8	6	1.2	149.8	5.2	66.3	7.6	9.8	21.9	4.8	4.8	17.1	6	2.9	Ds_low
Varen	Var_3	11	116.3	8	1.2	160.8	5.3	54.7	7.3	8.5	20.3	3.3	2.9	17.2	7.1	2.8	Ds_low
Varen	Var_3	17	91.1	6	1.1	123.1	4.9	86.6	9.8	9.6	20.2	5.8	5	19.9	7	2.8	Ds_low
Varen	Var_4	16	84.1	8	1.1	182	4	48.1	8.5	6.5	18.4	5.2	3.8	18.9	6.9	2.2	Ds_low
Varen	Var_5	12	90	4	1	131.9	4.1	41.3	7.2	7.5	21.5	4.2	3.7	16.5	7.1	1.6	Ds_low
Varen	Var_5	14	80.1	4	0.8	88.9	3.6	43.5	7.9	6.6	19.1	5.1	3.3	15.1	6.8	2.2	Ds_low
Varen	Var_5	35	104.6	4	2.4	161	4.3	41.3	6.4	7.3	22.6	5.2	5.8	19.9	6.8	2.5	Ds_low
Varen	Var_6	51	136.8	8	0.8	214	2.7	46.4	6.8	7.6	22.3	5.2	5.1	19.7	5.7	1.7	Ds_low
Varen	Var_6	64	124.1	10	1	221	3.3	57.9	6.1	10.2	26.2	4.8	5.7	20.7	7.6	1.8	Ds_low
Varen	Var_6	53	140.8	8	0.7	183	3.5	31.2	5.5	6.5	23	4.9	5	18.5	5.5	1.6	Ds_low
Varen	Var_7	56	100.5	10	0.8	219	4	62.7	8.5	9.3	23.3	5.9	4.6	20.9	8.8	2	Ds_low
Varen	Var_7	53	111.7	8	1	189	4.1	40	6.5	7.9	22.8	4.5	4.5	20.4	6.82	2.6	Ds_low
Varen	Var_7	49	118	8	1.3	253	4.4	67.4	8.9	10.6	25.3	5.5	4.9	20.9	7.2	2.7	Ds_low
Varen	Var_8	42	139.4	8	0.9	225	3.7	79.3	10	10.5	23.4	5.1	3.8	21.1	7.2	1.9	Ds_low
