barcode	site	site_plot	cluster	CEN	aster_fitness	start19_size	start20_size	start21_size	day19	day20	day21	size_mean	day_mean
34468	Findeln	Findeln_1	1	HH	NA	0.8475	3	5.5	NA	NA	NA	-1.577975903	NA
32345	Findeln	Findeln_1	2	HH	0.593212458	2.916	7.5	10	NA	195	186	0.069485659	-0.077665914
32751	Findeln	Findeln_1	1	HH	NA	1.3505	3.5	5.5	NA	NA	217	-1.371912141	3.622131284
33998	Findeln	Findeln_1	2	HH	0.431789069	2.6575	6.5	9	NA	191	186	-0.237311835	-0.359122107
30066	Findeln	Findeln_1	1	HH	NA	1.3375	3	3.5	NA	NA	NA	-1.66359555	NA
32971	Findeln	Findeln_1	1	HL	0.247556699	2.0365	6.5	8.5	NA	NA	196	-0.477904767	0.800273029
31605	Findeln	Findeln_1	2	HH	0.464252955	2.499	7.5	8.5	NA	NA	186	-0.22600413	-0.543468997
31867	Findeln	Findeln_1	1	HL	0.42761485	3.265	7.5	10.5	206	NA	189	0.229891448	1.117315418
33136	Findeln	Findeln_1	1	HL	NA	NA	2.5	NA	NA	NA	NA	-1.837962119	NA
32826	Findeln	Findeln_1	1	HL	NA	0.858	NA	NA	NA	NA	NA	-1.550830037	NA
34259	Findeln	Findeln_1	1	HL	NA	1.654	2	3	NA	NA	NA	-1.743361172	NA
34688	Findeln	Findeln_1	2	HH	NA	1.4845	6.5	8.5	NA	NA	NA	-0.640637501	NA
32024	Findeln	Findeln_1	2	HH	0.389951312	2.571	NA	10	NA	202	NA	0.004000019	1.373233846
30546	Findeln	Findeln_1	1	HL	0.207960764	1.7605	4	5	NA	NA	196	-1.250783915	0.800273029
31856	Findeln	Findeln_1	2	HH	0.217731708	2.5395	6.5	8	NA	NA	196	-0.387136119	0.800273029
33913	Findeln	Findeln_1	1	HH	0.005494788	1.3175	4.5	7	NA	NA	193	-1.093531895	0.397150421
32514	Findeln	Findeln_1	2	HH	0.426154215	2.4015	6.5	9	NA	NA	186	-0.312782088	-0.543468997
33774	Findeln	Findeln_1	1	HH	NA	1.525	4.5	7	NA	NA	NA	-1.032359717	NA
34088	Findeln	Findeln_1	1	HL	NA	0.746	2	NA	NA	NA	NA	-1.830588191	NA
31008	Findeln	Findeln_1	1	HH	NA	1.353	1.5	NA	NA	NA	NA	-1.648832381	NA
33829	Findeln	Findeln_1	1	HL	NA	1.4065	4.5	6.5	NA	NA	NA	-1.124812797	NA
31354	Findeln	Findeln_1	2	HH	0.003806114	1.7715	5	5	NA	NA	200	-1.13198804	1.33776984
32220	Findeln	Findeln_1	2	HH	NA	1.1125	3.5	6	NA	NA	NA	-1.384557285	NA
31899	Findeln	Findeln_1	2	HH	0.176231847	2.1975	6.5	8	NA	NA	196	-0.48795966	0.800273029
34768	Findeln	Findeln_1	2	HH	NA	1.967	4.5	7.5	NA	NA	207	-0.844537	2.278389258
32806	Findeln	Findeln_1	1	HL	NA	1.524	3.5	4.5	NA	NA	NA	-1.435800571	NA
33295	Findeln	Findeln_1	2	HH	NA	1.4555	5.5	6.5	NA	NA	NA	-0.994814307	NA
32846	Findeln	Findeln_1	1	HH	NA	1.0805	3.5	NA	NA	NA	NA	-1.422675165	NA
32554	Findeln	Findeln_1	1	HH	NA	1.8375	6	6	NA	NA	210	-0.881940639	2.681511866
32153	Findeln	Findeln_1	2	HH	0.302407473	1.661	6	8	NA	NA	186	-0.703899412	-0.543468997
31575	Findeln	Findeln_1	2	HH	NA	2.662	4.5	8	NA	NA	NA	-0.582128448	NA
30823	Findeln	Findeln_10	1	HH	0.662260314	2.862	10.05	10	NA	NA	193	0.348226334	0.397150421
34458	Findeln	Findeln_10	2	HH	1.634267931	2.9595	10.5	12	NA	191	186	0.659043171	-0.359122107
34003	Findeln	Findeln_10	2	HH	0.037222819	1.984	5	9	NA	NA	200	-0.609192976	1.33776984
32399	Findeln	Findeln_10	2	HH	0.078180732	1.829	5.5	6.5	NA	NA	193	-0.884704386	0.397150421
