barcode,site,cluster,CEN_1,surv_start19,surv_start20,surv_start21,start19_size,start20_size,start21_size,flowered19,flowered20,flowered21,day19,day20,day21,seed_count19,seed_count20,seed_count21
30023,Zeneggen,1,H-H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30043,Zeneggen,1,H-H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30053,Zeneggen,1,H-H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30058,Zeneggen,1,H-H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30078,Zeneggen,1,H-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30088,Zeneggen,1,H-H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30103,Zeneggen,1,H-L,1,1,1,2.7005,3.811,8.5,0,1,1,0,153,158,0,0,116
30113,Zeneggen,1,H-L,1,1,1,1.664,6.452,14,0,0,1,0,0,158,0,0,17
30118,Zeneggen,1,H-H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30123,Zeneggen,1,H-H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30168,Zeneggen,1,H-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30178,Zeneggen,1,H-H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30198,Zeneggen,1,H-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30203,Zeneggen,1,H-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30213,Zeneggen,1,H-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30223,Zeneggen,1,H-L,1,1,1,2.8415,4.4135,10.5,0,1,1,0,157,160,0,0,19
30233,Zeneggen,1,H-H,1,1,1,1.7425,2.1065,7,0,0,1,0,0,158,0,0,22
30260,Zeneggen,1,H-L,1,1,1,1.7545,4.566,11,0,1,1,0,143,151,0,0,0
30271,Zeneggen,1,H-L,1,1,1,2.5785,5.2345,12,0,1,1,0,146,160,0,0,21
30281,Zeneggen,1,H-L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30291,Zeneggen,1,H-L,1,1,1,2.0635,7.651,7.5,0,0,1,0,0,151,0,0,255
30301,Zeneggen,1,H-H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30311,Zeneggen,1,H-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30316,Zeneggen,1,H-L,1,1,1,2.892,3.925,10.5,0,1,1,0,157,160,0,0,0
30346,Zeneggen,1,H-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30387,Zeneggen,1,H-H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30402,Zeneggen,1,H-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30407,Zeneggen,1,H-H,1,1,1,2.634,6.0975,13,0,1,1,0,140,151,0,0,0
30422,Zeneggen,1,H-H,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30432,Zeneggen,1,H-H,1,1,1,2.682,5.3245,12.5,1,1,1,162,133,151,0,0,249
30452,Zeneggen,1,H-H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30467,Zeneggen,1,H-H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30477,Zeneggen,1,H-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30498,Zeneggen,1,H-H,1,1,0,0,4.86,0,0,0,0,0,0,0,0,0,0
30508,Zeneggen,1,H-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30513,Zeneggen,1,H-L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
