Population	Latitude	Longitude	Altitude	Nr_Total	Nr_High	Nr_Low	FreqHigh	FreqLow
Twann	47.093786	7.152245	490	5	3	2	0.6	0.4
Onnens	46.844580	6.684666	488	7	4	3	0.5714285714285714	0.42857142857142855
Enges	47.047807	7.012920	673	7	1	6	0.14285714285714285	0.8571428571428571
La_Dole	46.424684	6.104079	1456	5	5	0	1.0	0.0
Pierre_a_Coutiau	46.580821	6.288020	1608	7	7	0	1.0	0.0
Le_Moleson	46.536971	7.003558	1820	9	8	1	0.8888888888888888	0.1111111111111111
Rochers_de_Naye	46.431069	6.979597	1975	8	8	0	1.0	0.0
Biasca	46.359350	8.981270	670	4	4	0	1.0	0.0
San_Carlo	46.424250	8.518020	1420	7	7	0	1.0	0.0
Rochers_des_Rayes	46.527342	7.208130	1790	6	6	0	1.0	0.0
L_Aupateri	46.496083	7.139252	1530	7	3	4	0.42857142857142855	0.5714285714285714
Schwarzenmatt	46.634093	7.349496	1220	8	6	2	0.75	0.25
Col_de_Sonlomont	46.443190	7.063911	1650	5	5	0	1.0	0.0
Mangart	46.443540	13.639610	2053	22	6	16	0.2727272727272727	0.7272727272727273
Lago_di_Fedaia	46.466060	11.859290	2220	8	7	1	0.875	0.125
Mustair_Low	46.632160	10.446993	1300	3	3	0	1.0	0.0
Soca_Low	46.404810	13.705320	1036	18	2	16	0.1111111111111111	0.8888888888888888
Soca_High	46.412170	13.693990	1632	22	1	21	0.045454545454545456	0.9545454545454546
Les_Chapelles	45.587300	6.713970	1432	6	4	2	0.6666666666666666	0.3333333333333333
Pralognan_la_Vanoise	45.314010	6.680270	1986	8	8	0	1.0	0.0
L_Ecot	45.385540	7.099690	2090	4	4	0	1.0	0.0
Lac_du_Mont_Cenis	45.209400	6.969830	1938	9	9	0	1.0	0.0
Nevache	45.026640	6.601780	1871	7	7	0	1.0	0.0
Abries	44.786480	6.937390	1670	5	4	1	0.8	0.2
Saint_Paul_sur_Ubaye	44.594700	6.899970	2343	8	8	0	1.0	0.0
Bayasse	44.307670	6.746490	1868	8	8	0	1.0	0.0
Pont	45.525360	7.191370	2130	9	9	0	1.0	0.0
Lago_di_Loie	45.586816	7.412529	2365	8	8	0	1.0	0.0
Pievescola	43.3200	11.1081	230	3	0	3	0.0	1.0
Iesa	43.0947	11.2459	340	2	0	2	0.0	1.0
Bagno_di_Roselle	42.8000	11.1500	120	5	0	5	0.0	1.0
Monte_Prinzera	44.6333	10.0667	590-600	3	0	3	0.0	1.0
Monte_Ventasso	44.3667	10.2833	1680	7	0	7	0.0	1.0
Carpegna	43.7833	12.3667	700-800	7	0	7	0.0	1.0
Monte_Falcinello	44.1333	9.9500	140	8	0	8	0.0	1.0
Val_di_Susa	45.0980	7.3430	880	9	9	0	1.0	0.0
Monte_Tancia	42.3105	12.7488	900	2	0	2	0.0	1.0
Legn_Marsch_Scuol	46.814970	10.353396	1080-1280	9	5	4	0.5555555555555556	0.4444444444444444
Staziun	46.766954	10.108454	1440-1500	7	6	1	0.8571428571428571	0.14285714285714285
Umblin	46.706940	10.086520	1480-1535	10	10	0	1.0	0.0
Kastelbell	46.635661	10.912238	690-770	9	7	2	0.7777777777777778	0.2222222222222222
Val_da_la_Stura	46.775287	10.425932	2160-2365	8	8	0	1.0	0.0
Mot_Ajuz	46.784473	10.349123	2270-2450	4	4	0	1.0	0.0
Uert	46.782457	10.119050	2090-2115	5	5	0	1.0	0.0
Laschadurella	46.711559	10.167212	2340-2410	6	5	1	0.8333333333333334	0.16666666666666666
Pass_da_Costainas	46.644369	10.371627	2260-2340	3	3	0	1.0	0.0
