TLN_SD				
diff	lwr	upr	p adj	
High-Col	1.782493369	-3.225918603	6.790905341	0.676236051
Low-Col	8.376223776	3.342863944	13.40958361	0.000385261
Low-High	6.593730408	3.521877446	9.665583369	3.85E-06
days_till_bolting_SD				
diff	lwr	upr	p adj	
High-Col	22.91114058	13.39314657	32.4291346	2.33E-07
Low-Col	14.53576248	5.002493607	24.06903136	0.001247198
Low-High	-8.3753781	-14.16032559	-2.590430606	0.00231312
TLN_LD				
diff	lwr	upr	p adj	
High-Col	5.119047619	3.363002827	6.875092411	1.81E-09
Low-Col	5.197674419	3.446741849	6.948606988	1.19E-09
Low-High	0.0786268	-1.155844021	1.31309762	0.987406756
days_till_bolting_LD				
diff	lwr	upr	p adj	
High-Col	7.023809524	4.32702098	9.720598068	4.27E-08
Low-Col	6.759136213	4.070198598	9.448073827	1.12E-07
Low-High	-0.264673311	-2.160471631	1.631125009	0.940966625
