Population	lat	lon	Elevation
Abries	44.78648	6.93739	1645.651
Alpe_Lago	46.547222	8.666667	2132.941
Bayasse	44.30767	6.74649	1857.47
Bourg_St_Pierre	45.946183	7.212333	1756.636
Bre	46.015366	8.997327	847.348
Brison	45.74356	5.88787	265.399
Ceuse	44.49908	5.9504	1797.32
Chlingenstock	46.957393	8.660853	1761.399
Euseigne	46.162883	7.440933	1027.744
Evolene	46.123067	7.48695	1500.393
Forte_San_Marco_High	45.60342	10.83646	537.06
Forte_San_Marco_Low	45.58667	10.82507	316.279
Giand_Alva	46.411879	9.78258	2445.423
Gornergrat	45.979444	7.776111	2734.743
Lac_des_Mesches	44.07035	7.51683	1473.726
Lac_du_Mont_Cenis	45.2094	6.96983	1950.25
Lago_di_Fedaia	46.46606	11.85929	2225.897
Lago_di_Loie	45.586816	7.412529	2370.608
La_Dole	46.424684	6.104079	1461.282
La_Sagne	44.81554	6.55708	1051.778
Legn_Marsch_Scuol	46.81497	10.353396	1196.796
Les_Chapelles	45.5873	6.71397	1416.983
Le_Moleson	46.536971	7.003558	1817.772
Liddes	45.984433	7.196783	1520.189
Lumini	45.6323	10.78035	1121.321
Mattmark	46.036944	7.9525	2316.09
Monte_Caslano	45.96053	8.88331	317.777
Mustair_Low	46.63216	10.446993	1285.876
Nevache	45.02664	6.60178	1856.903
Onnens	46.84458	6.684666	490.386
Orsieres	46.029533	7.140733	991.132
Polsa	45.76645	10.93891	1392.659
Pont	45.52536	7.19137	2140.735
Pralognan_la_Vanoise	45.31401	6.68027	1980.313
Rifugio_Graziani	45.79879	10.89384	1620.8
Rochers_de_Naye	46.431069	6.979597	1962.953
Saint_Paul_sur_Ubaye	44.5947	6.89997	2318.74
Santis	47.25076	9.44518	1466.625
Saxon	46.140278	7.164058	529.897
Simplonpass	46.206111	8.074444	2271.413
Triftgrat	46.123889	7.958333	2439.679
Val_da_la_Stura	46.775287	10.425932	2298.267
Weissenbach	46.78907	11.34521	1794.495
