scaffold	pos	zscore	pvalue	adjpvalue	beta	FDRpvalue	absBetax1000
scaffold1_size1318325_1_614794	137546	-6.029837881	4.29E-07	6.52E-07	-8.49E-05	0.01162174	8.49E-02
scaffold1_size1318325_1_614794	568766	-5.443126215	2.86E-06	7.09E-06	-5.20E-05	0.035120165	5.20E-02
scaffold1_size1318325_616324_1318325	589638	5.707274782	1.22E-06	2.49E-06	0.00011859	0.021388166	1.19E-01
scaffold2_size711759_1_31810	27801	-5.613454522	1.65E-06	3.63E-06	-9.71E-05	0.025924861	9.71E-02
scaffold2_size711759_1_31810	27888	-5.276809891	4.88E-06	1.34E-05	-8.23E-05	0.04693702	8.23E-02
scaffold2_size711759_166492_711759	223903	-5.43213955	2.96E-06	7.40E-06	-8.03E-05	0.035882467	8.03E-02
scaffold2_size711759_166492_711759	504093	-5.310692082	4.38E-06	1.18E-05	-4.67E-05	0.044218824	4.67E-02
scaffold4_size532381	192718	5.527245904	2.18E-06	5.10E-06	0.000227559	0.030275003	2.28E-01
scaffold10_size403606	65938	5.483087063	2.51E-06	6.07E-06	0.000210076	0.032312938	2.10E-01
scaffold10_size403606	69773	5.323893132	4.20E-06	1.12E-05	0.000183862	0.043420731	1.84E-01
scaffold10_size403606	70139	5.953089068	5.50E-07	9.02E-07	0.000199941	0.013208935	2.00E-01
scaffold11_size401640_1_300415	4056	-5.464123942	2.67E-06	6.53E-06	-5.50E-05	0.033566612	5.50E-02
scaffold11_size401640_1_300415	4441	-5.552176027	2.01E-06	4.63E-06	-5.62E-05	0.028814057	5.62E-02
scaffold13_size389424	54939	5.262875365	5.11E-06	1.41E-05	8.56E-05	0.048101078	8.56E-02
scaffold13_size389424	54950	5.433070641	2.95E-06	7.37E-06	0.00010266	0.035786623	1.03E-01
scaffold13_size389424	157387	-5.571662569	1.89E-06	4.28E-06	-6.16E-05	0.028097347	6.16E-02
scaffold14_size387039	323933	-5.541587359	2.08E-06	4.82E-06	-2.92E-05	0.029679911	2.92E-02
scaffold15_size376895_231200_376895	97790	5.28029707	4.83E-06	1.32E-05	0.000139539	0.04654634	1.40E-01
scaffold16_size375037	94998	-5.27004841	4.99E-06	1.37E-05	-0.000142181	0.047521981	1.42E-01
scaffold19_size358241_68305_358241	70190	6.067363727	3.80E-07	5.55E-07	0.000160762	0.010661962	1.61E-01
scaffold23_size337702	26852	-5.539069705	2.10E-06	4.87E-06	-7.16E-05	0.029758473	7.16E-02
scaffold26_size331193_1_276729	127215	-5.358111471	3.76E-06	9.83E-06	-8.93E-05	0.040780608	8.93E-02
scaffold26_size331193_1_276729	184523	5.628879001	1.57E-06	3.41E-06	7.30E-05	0.025272932	7.30E-02
scaffold27_size330420	304711	-5.944118279	5.66E-07	9.37E-07	-7.03E-05	0.01343788	7.03E-02
scaffold28_size330267_1_203878	7129	-5.317770742	4.28E-06	1.15E-05	-6.77E-05	0.043832096	6.77E-02
scaffold29_size328754	207488	-5.432484939	2.96E-06	7.39E-06	-0.000195949	0.035851168	1.96E-01
scaffold33_size321903	105179	-5.63896429	1.52E-06	3.28E-06	-4.73E-05	0.024835502	4.73E-02
scaffold33_size321903	232770	5.799890782	9.03E-07	1.71E-06	0.00014311	0.017748079	1.43E-01
scaffold34_size321243	166393	5.59948566	1.73E-06	3.84E-06	0.000175697	0.026631681	1.76E-01
scaffold38_size315274	146756	-5.983465439	4.99E-07	7.94E-07	-0.000120924	0.012663625	1.21E-01
scaffold38_size315274	146787	-5.920429918	6.12E-07	1.04E-06	-0.000115357	0.014124256	1.15E-01
scaffold38_size315274	146797	-5.75521742	1.04E-06	2.05E-06	-0.000114678	0.019625133	1.15E-01
scaffold42_size311157	218336	5.325884702	4.17E-06	1.11E-05	0.000153802	0.043182293	1.54E-01
scaffold42_size311157	218337	5.325884702	4.17E-06	1.11E-05	0.000153802	0.043182293	1.54E-01
scaffold42_size311157	218338	5.325884702	4.17E-06	1.11E-05	0.000153802	0.043182293	1.54E-01
scaffold43_size309549	48259	-5.29290009	4.64E-06	1.26E-05	-7.29E-05	0.045805739	7.29E-02
scaffold45_size303955_1_220305	75708	-5.232121596	5.64E-06	1.58E-05	-0.000130862	0.049954889	1.31E-01
scaffold45_size303955_1_220305	76259	-5.2750512	4.91E-06	1.35E-05	-0.000137427	0.047092111	1.37E-01
scaffold45_size303955_1_220305	76298	-5.468113583	2.64E-06	6.43E-06	-0.000146189	0.033388578	1.46E-01
scaffold45_size303955_1_220305	76399	-5.402616524	3.26E-06	8.29E-06	-0.000152297	0.038016305	1.52E-01
scaffold45_size303955_1_220305	187051	-5.833691578	8.10E-07	1.48E-06	-0.000176283	0.016447624	1.76E-01
scaffold47_size298579	34481	-5.591937356	1.77E-06	3.95E-06	-5.00E-05	0.027041949	5.00E-02
scaffold48_size294768	278960	-5.230409955	5.67E-06	1.59E-05	-0.000138505	0.049989183	1.39E-01
scaffold48_size294768	278965	-5.368863513	3.63E-06	9.43E-06	-0.000137595	0.040096936	1.38E-01
scaffold52_size287979	48984	5.259842993	5.16E-06	1.43E-05	0.000158166	0.048209238	1.58E-01
scaffold53_size285128	41307	-5.377200832	3.54E-06	9.14E-06	-0.000174469	0.039602261	1.74E-01
scaffold53_size285128	170660	5.332180766	4.09E-06	1.09E-05	0.000128399	0.042746115	1.28E-01
scaffold54_size283374_1_234726	120468	-5.327658741	4.15E-06	1.10E-05	-0.000162048	0.043058533	1.62E-01
scaffold54_size283374_1_234726	127175	-5.719744202	1.17E-06	2.37E-06	-0.00013042	0.020923222	1.30E-01
scaffold55_size282875	44234	6.044557838	4.09E-07	6.12E-07	0.000146272	0.011318911	1.46E-01
scaffold55_size282875	44293	5.424894273	3.03E-06	7.61E-06	0.000131333	0.036327226	1.31E-01
scaffold55_size282875	44294	5.424894273	3.03E-06	7.61E-06	0.000131333	0.036327226	1.31E-01
scaffold56_size282508_1_148904	43948	-6.182382708	2.62E-07	3.38E-07	-8.89E-05	0.008214524	8.89E-02
scaffold57_size281098_1_189838	132119	-5.619143059	1.62E-06	3.55E-06	-3.51E-05	0.025711445	3.51E-02
scaffold57_size281098_1_189838	132136	-5.859288092	7.45E-07	1.34E-06	-3.45E-05	0.015850208	3.45E-02
scaffold57_size281098_1_189838	132312	-6.282601192	1.89E-07	2.18E-07	-2.53E-05	0.00639471	2.53E-02
scaffold57_size281098_1_189838	132385	-5.857118977	7.51E-07	1.35E-06	-2.82E-05	0.01595688	2.82E-02
scaffold57_size281098_1_189838	132964	-5.838295311	7.98E-07	1.46E-06	-3.98E-05	0.016416177	3.98E-02
scaffold57_size281098_1_189838	133160	-5.631518768	1.56E-06	3.38E-06	-2.41E-05	0.025132011	2.41E-02
scaffold58_size280577	66380	-5.559473462	1.96E-06	4.50E-06	-7.61E-05	0.028435014	7.61E-02
scaffold58_size280577	66944	-5.84733889	7.75E-07	1.40E-06	-5.68E-05	0.016160151	5.68E-02
scaffold59_size272761	124210	5.809951668	8.74E-07	1.64E-06	0.000107501	0.017297669	1.08E-01
scaffold59_size272761	187177	-5.361217704	3.72E-06	9.71E-06	-0.000100172	0.040568024	1.00E-01
scaffold69_size259022	132235	-5.901143499	6.51E-07	1.12E-06	-8.94E-05	0.014725538	8.94E-02
scaffold69_size259022	132875	-5.347068947	3.90E-06	1.03E-05	-8.36E-05	0.041532393	8.36E-02
scaffold69_size259022	133087	-5.665931302	1.39E-06	2.94E-06	-0.000106943	0.023352877	1.07E-01
scaffold69_size259022	133673	-6.550330242	7.97E-08	6.50E-08	-0.000131763	0.003092251	1.32E-01
scaffold69_size259022	133719	-5.97917347	5.06E-07	8.08E-07	-0.000101459	0.012804405	1.01E-01
scaffold69_size259022	133730	-5.604705972	1.70E-06	3.76E-06	-9.75E-05	0.026376675	9.75E-02
scaffold69_size259022	134071	-6.729158144	4.48E-08	2.82E-08	-9.37E-05	0.001920583	9.37E-02
scaffold69_size259022	134408	-6.128318617	3.12E-07	4.27E-07	-0.000111712	0.009247943	1.12E-01
scaffold69_size259022	135164	-5.400921153	3.28E-06	8.34E-06	-9.64E-05	0.038091003	9.64E-02
scaffold69_size259022	135206	-5.666609779	1.39E-06	2.93E-06	-9.78E-05	0.023328844	9.78E-02
scaffold69_size259022	135882	-5.351730618	3.84E-06	1.01E-05	-9.83E-05	0.041218182	9.83E-02
scaffold69_size259022	141174	-5.862702918	7.37E-07	1.32E-06	-9.98E-05	0.015822539	9.98E-02
scaffold73_size254900	12648	-5.749611305	1.06E-06	2.10E-06	-7.19E-05	0.019831322	7.19E-02
scaffold73_size254900	15242	-5.775025875	9.79E-07	1.89E-06	-5.55E-05	0.018700087	5.55E-02
scaffold76_size253384	132368	-6.123639315	3.17E-07	4.36E-07	-0.0001375	0.009314318	1.37E-01
scaffold76_size253384	137983	5.357440917	3.77E-06	9.85E-06	0.000227888	0.040788278	2.28E-01
scaffold76_size253384	139155	5.292400608	4.64E-06	1.26E-05	0.000233427	0.045805739	2.33E-01
scaffold76_size253384	139654	5.522311974	2.22E-06	5.20E-06	0.000225407	0.030507348	2.25E-01
scaffold76_size253384	140103	5.854823121	7.56E-07	1.36E-06	0.000257904	0.016015596	2.58E-01
scaffold76_size253384	140349	5.470715484	2.62E-06	6.37E-06	0.000279515	0.033249832	2.80E-01
scaffold76_size253384	140375	5.425679867	3.02E-06	7.58E-06	0.000268208	0.036318484	2.68E-01
scaffold76_size253384	142461	5.557053292	1.98E-06	4.54E-06	0.000277262	0.028570192	2.77E-01
scaffold76_size253384	147724	-5.564928619	1.93E-06	4.40E-06	-0.000139056	0.028351431	1.39E-01
scaffold76_size253384	147785	5.459627584	2.71E-06	6.65E-06	0.000284539	0.033970131	2.85E-01
scaffold76_size253384	148474	5.519988299	2.23E-06	5.25E-06	0.000178304	0.03057195	1.78E-01
scaffold76_size253384	156523	5.270005186	4.99E-06	1.37E-05	0.00024364	0.047521981	2.44E-01
scaffold76_size253384	156585	5.509739912	2.31E-06	5.47E-06	0.000264357	0.031170467	2.64E-01
scaffold76_size253384	156613	5.467466228	2.64E-06	6.45E-06	0.000294071	0.033406508	2.94E-01
scaffold76_size253384	156621	5.468364204	2.64E-06	6.43E-06	0.000295312	0.033388578	2.95E-01
scaffold76_size253384	157756	5.242982299	5.44E-06	1.52E-05	0.000284934	0.049333913	2.85E-01
scaffold76_size253384	158488	5.646935477	1.48E-06	3.17E-06	0.000224677	0.024265663	2.25E-01
scaffold76_size253384	159245	-5.245777085	5.39E-06	1.50E-05	-0.000239429	0.049075568	2.39E-01
scaffold76_size253384	160700	5.844315542	7.82E-07	1.42E-06	0.00016097	0.016203362	1.61E-01
scaffold76_size253384	160748	-5.568939659	1.91E-06	4.33E-06	-0.000114141	0.028201028	1.14E-01
scaffold76_size253384	161539	-5.733363939	1.12E-06	2.24E-06	-0.000106024	0.020465681	1.06E-01
scaffold76_size253384	161789	-5.394620529	3.34E-06	8.55E-06	-0.000169134	0.038618697	1.69E-01
scaffold76_size253384	161826	-5.438188641	2.91E-06	7.22E-06	-0.000185269	0.035434229	1.85E-01
scaffold76_size253384	162088	-5.439328834	2.89E-06	7.19E-06	-0.000107886	0.035323194	1.08E-01
scaffold76_size253384	162185	-5.803878388	8.92E-07	1.68E-06	-0.000107195	0.017593298	1.07E-01
scaffold76_size253384	162202	-5.686484002	1.30E-06	2.71E-06	-0.000186104	0.022309101	1.86E-01
