#Conversion of scaffold names used in genome assemblies (left) and in this manuscript (right)

scaffold1_size1318325_1_614794	scaffold1_1
scaffold1_size1318325_616324_1318325	scaffold1_2
scaffold2_size711759_1_31810	scaffold2_1
scaffold2_size711759_33708_159261	scaffold2_2
scaffold2_size711759_159681_161084	scaffold2_3
scaffold2_size711759_161086_162432	scaffold2_4
scaffold2_size711759_166492_711759	scaffold2_5
scaffold3_size573480_1_44923	scaffold3_1
scaffold3_size573480_44925_47676	scaffold3_2
scaffold3_size573480_49210_58822	scaffold3_3
scaffold3_size573480_59977_61932	scaffold3_4
scaffold3_size573480_62867_65983	scaffold3_5
scaffold3_size573480_71051_402428	scaffold3_6
scaffold3_size573480_404329_406960	scaffold3_7
scaffold3_size573480_411157_415183	scaffold3_8
scaffold3_size573480_420414_573480	scaffold3_9
scaffold4_size532381	scaffold4_1
scaffold5_size532232	scaffold5_1
scaffold6_size512196	scaffold6_1
scaffold7_size499283_1_17078	scaffold7_1
scaffold7_size499283_17776_19293	scaffold7_2
scaffold7_size499283_24952_499283	scaffold7_3
scaffold8_size466584_1_15682	scaffold8_1
scaffold8_size466584_15684_435736	scaffold8_2
scaffold8_size466584_435738_466584	scaffold8_3
scaffold9_size408430_1_368590	scaffold9_1
scaffold9_size408430_368748_408430	scaffold9_2
scaffold10_size403606	scaffold10_1
scaffold11_size401640_1_300415	scaffold11_1
scaffold11_size401640_300417_301893	scaffold11_2
scaffold11_size401640_308755_401640	scaffold11_3
scaffold12_size397583	scaffold12_1
scaffold13_size389424	scaffold13_1
scaffold14_size387039	scaffold14_1
scaffold15_size376895_1_225294	scaffold15_1
scaffold15_size376895_225296_229101	scaffold15_2
scaffold15_size376895_231200_376895	scaffold15_3
scaffold16_size375037	scaffold16_1
scaffold17_size371318	scaffold17_1
scaffold18_size361929_1_229314	scaffold18_1
scaffold18_size361929_229316_232004	scaffold18_2
scaffold18_size361929_236674_361929	scaffold18_3
scaffold19_size358241_1_59988	scaffold19_1
scaffold19_size358241_62187_63306	scaffold19_2
scaffold19_size358241_68305_358241	scaffold19_3
scaffold20_size353540	scaffold20_1
scaffold21_size350315_1_67986	scaffold21_1
scaffold21_size350315_67988_69439	scaffold21_2
scaffold21_size350315_70730_300271	scaffold21_3
scaffold21_size350315_301312_350315	scaffold21_4
scaffold22_size343841	scaffold22_1
scaffold23_size337702	scaffold23_1
scaffold24_size335665	scaffold24_1
scaffold25_size335396	scaffold25_1
scaffold26_size331193_1_276729	scaffold26_1
scaffold26_size331193_278317_278741	scaffold26_2
scaffold26_size331193_281157_331193	scaffold26_3
scaffold27_size330420	scaffold27_1
scaffold28_size330267_1_203878	scaffold28_1
scaffold28_size330267_206024_208053	scaffold28_2
scaffold28_size330267_209972_225886	scaffold28_3
scaffold28_size330267_226761_228504	scaffold28_4
scaffold28_size330267_233754_330267	scaffold28_5
scaffold29_size328754	scaffold29_1
scaffold30_size328659	scaffold30_1
scaffold31_size328605_1_41662	scaffold31_1
scaffold31_size328605_43065_299849	scaffold31_2
scaffold31_size328605_300507_328605	scaffold31_3
scaffold32_size324727	scaffold32_1
scaffold33_size321903	scaffold33_1
scaffold34_size321243	scaffold34_1
scaffold35_size319867_1_66960	scaffold35_1
scaffold35_size319867_66962_68593	scaffold35_2
scaffold35_size319867_68595_71016	scaffold35_3
scaffold35_size319867_71018_72474	scaffold35_4
scaffold35_size319867_76295_79939	scaffold35_5
scaffold35_size319867_85842_87750	scaffold35_6
scaffold35_size319867_89416_104835	scaffold35_7
scaffold35_size319867_106249_319867	scaffold35_8
scaffold36_size317712	scaffold36_1
scaffold37_size315471	scaffold37_1
scaffold38_size315274	scaffold38_1
scaffold39_size315207	scaffold39_1
scaffold40_size328839	scaffold40_1
scaffold41_size312282	scaffold41_1
scaffold42_size311157	scaffold42_1
scaffold43_size309549	scaffold43_1
scaffold44_size304111	scaffold44_1
scaffold45_size303955_1_220305	scaffold45_1
scaffold45_size303955_221521_303955	scaffold45_2
scaffold46_size302327_1_26657	scaffold46_1
scaffold46_size302327_26659_28645	scaffold46_2
scaffold46_size302327_29128_31401	scaffold46_3
scaffold46_size302327_32579_302327	scaffold46_4
scaffold47_size298579	scaffold47_1
scaffold48_size294768	scaffold48_1
scaffold49_size293829	scaffold49_1
scaffold50_size292063	scaffold50_1
scaffold51_size290317_1_234489	scaffold51_1
scaffold51_size290317_236312_290317	scaffold51_2
scaffold52_size287979	scaffold52_1
scaffold53_size285128	scaffold53_1
scaffold54_size283374_1_234726	scaffold54_1
scaffold54_size283374_234728_283374	scaffold54_2
scaffold55_size282875	scaffold55_1
scaffold56_size282508_1_148904	scaffold56_1
scaffold56_size282508_150229_282508	scaffold56_2
scaffold57_size281098_1_189838	scaffold57_1
scaffold57_size281098_190363_281098	scaffold57_2
scaffold58_size280577	scaffold58_1
scaffold59_size272761	scaffold59_1
scaffold60_size272429	scaffold60_1
scaffold61_size271269	scaffold61_1
scaffold62_size271019	scaffold62_1
scaffold63_size266567	scaffold63_1
scaffold64_size265011	scaffold64_1
scaffold65_size264614_1_66459	scaffold65_1
scaffold65_size264614_66985_264614	scaffold65_2
scaffold66_size263319	scaffold66_1
scaffold67_size261632	scaffold67_1
scaffold68_size261212	scaffold68_1
scaffold69_size259022	scaffold69_1
scaffold70_size256905	scaffold70_1
scaffold71_size256649	scaffold71_1
scaffold72_size256570	scaffold72_1
scaffold73_size254900	scaffold73_1
scaffold74_size254549	scaffold74_1
scaffold75_size253992	scaffold75_1
