scaffold	LG	postion
scaffold1004_size70948	Dcart_1_ml	419.9085
scaffold101_size241269	Dcart_1_ml	156.9753333
scaffold103_size239575	Dcart_1_ml	207.1636
scaffold113_size228781	Dcart_1_ml	295.8146667
scaffold115_size227159	Dcart_1_ml	381.043
scaffold1170_size62967	Dcart_1_ml	402.901
scaffold1237_size59631_1_27745	Dcart_1_ml	454.015
scaffold1270_size58646_1_34170	Dcart_1_ml	233.498
scaffold12782_size1635	Dcart_1_ml	224.684
scaffold1304_size57627	Dcart_1_ml	439.817
scaffold1394_size54008	Dcart_1_ml	359.774
scaffold1484_size51760	Dcart_1_ml	151.588
scaffold1547_size50120_6094_50120	Dcart_1_ml	150.416
scaffold1570_size49527_15986_49527	Dcart_1_ml	478.276
scaffold158_size200853_30532_200853	Dcart_1_ml	297.8463333
scaffold1601_size48890	Dcart_1_ml	183.315
scaffold1661_size47797	Dcart_1_ml	416.4
scaffold1678_size72355_1_51466	Dcart_1_ml	422.412
scaffold1711_size46793	Dcart_1_ml	474.703
scaffold1722_size46575	Dcart_1_ml	41.639
scaffold1777_size45102	Dcart_1_ml	189.469
scaffold1891_size43112	Dcart_1_ml	452.869
scaffold1937_size42282	Dcart_1_ml	182.772
scaffold194_size182529_1_110118	Dcart_1_ml	417.276
scaffold198_size180822	Dcart_1_ml	350.81725
scaffold1986_size41500	Dcart_1_ml	253.8855
scaffold2043_size40586	Dcart_1_ml	141.805
scaffold2048_size40402	Dcart_1_ml	352.85
scaffold21_size376647	Dcart_1_ml	334.3312857
scaffold212_size173780_1_58143	Dcart_1_ml	355.231
scaffold2214_size37672	Dcart_1_ml	325.779
scaffold228_size165064_29732_58197	Dcart_1_ml	146.541
scaffold250_size157565	Dcart_1_ml	382.331
scaffold2604_size32159	Dcart_1_ml	372.3823333
scaffold2628_size31966	Dcart_1_ml	216.27
scaffold2648_size31797	Dcart_1_ml	203.726
scaffold275_size151004_14140_151004	Dcart_1_ml	395.569
scaffold277_size150880_1_90224	Dcart_1_ml	410.974
scaffold284_size151449	Dcart_1_ml	171.22
scaffold287_size192806_1_38699	Dcart_1_ml	238.374
scaffold287_size192806_38837_149295	Dcart_1_ml	200.538
scaffold288_size149229_101511_142357	Dcart_1_ml	148.479
scaffold2886_size29072	Dcart_1_ml	177.774
scaffold3028_size27772	Dcart_1_ml	383.644
scaffold3123_size26941	Dcart_1_ml	367.546
scaffold3167_size26695_12816_26695	Dcart_1_ml	432.56
scaffold3223_size26190	Dcart_1_ml	320.372
scaffold342_size136445	Dcart_1_ml	337.51
scaffold366_size131481	Dcart_1_ml	301.061
scaffold3773_size21746	Dcart_1_ml	459.067
scaffold3965_size20340	Dcart_1_ml	242.443
scaffold401_size125196	Dcart_1_ml	297.368
scaffold410_size190822_1_123979	Dcart_1_ml	284.1796667
scaffold4215_size18818	Dcart_1_ml	179.418
scaffold4225_size18776	Dcart_1_ml	481.795
scaffold424_size121847	Dcart_1_ml	268.1
scaffold4247_size18639	Dcart_1_ml	227.424
scaffold4475_size17268	Dcart_1_ml	359.453
scaffold4759_size15774	Dcart_1_ml	254.276
scaffold50_size311864	Dcart_1_ml	412.034
scaffold511_size139282_31614_139282	Dcart_1_ml	461.798
scaffold562_size103212_21828_103212	Dcart_1_ml	325.3965
scaffold5667_size12101	Dcart_1_ml	165.322
scaffold616_size98167	Dcart_1_ml	323.3856667
scaffold663_size94071	Dcart_1_ml	284.816
scaffold671_size93543	Dcart_1_ml	244.307
scaffold705_size90379	Dcart_1_ml	417.276
scaffold717_size89388	Dcart_1_ml	327.0575
scaffold73_size288728	Dcart_1_ml	309.9692
scaffold7430_size7159_3255_7159	Dcart_1_ml	494.572
scaffold7704_size6569	Dcart_1_ml	417.392
scaffold794_size83232	Dcart_1_ml	323.1995
scaffold796_size83033_1_21533	Dcart_1_ml	428.046
scaffold847_size79467	Dcart_1_ml	183.859
scaffold871_size77445	Dcart_1_ml	269.767
scaffold982_size71916_1_53516	Dcart_1_ml	314.578
scaffold10439_size2499	Dcart_10_ml	42.977
scaffold1065_size67967	Dcart_10_ml	541.028
scaffold1123_size65544_1_22524	Dcart_10_ml	237.9695
scaffold1143_size64413_23251_64413	Dcart_10_ml	110.778
scaffold1165_size63293	Dcart_10_ml	100.435
scaffold1203_size61062_1_50825	Dcart_10_ml	496.547
scaffold1204_size61008	Dcart_10_ml	337.607
scaffold1233_size59774	Dcart_10_ml	542.251
scaffold1281_size58385	Dcart_10_ml	554.63
scaffold1285_size58237	Dcart_10_ml	63.09
scaffold1316_size57056_1_47125	Dcart_10_ml	286.287
scaffold1381_size54343	Dcart_10_ml	346.347
scaffold1384_size54306	Dcart_10_ml	56.629
scaffold148_size204725_7621_26232	Dcart_10_ml	551.733
scaffold1563_size49661_1_46919	Dcart_10_ml	283.709
scaffold1586_size49321_27751_49321	Dcart_10_ml	337.344
scaffold167_size196724_20571_196724	Dcart_10_ml	52.22
scaffold1670_size47610	Dcart_10_ml	36.276
scaffold1739_size46136	Dcart_10_ml	330.783
scaffold175_size193446_1_60768	Dcart_10_ml	451.491
scaffold178_size191703_1_143683	Dcart_10_ml	244.484
scaffold1790_size44808	Dcart_10_ml	284.6475
scaffold1825_size44424	Dcart_10_ml	281.598
scaffold183_size189899	Dcart_10_ml	239.69925
scaffold1908_size42788_1_31601	Dcart_10_ml	276.271
scaffold1938_size42274_1_25976	Dcart_10_ml	218.3215
scaffold2157_size38707	Dcart_10_ml	341.581
scaffold2291_size36481	Dcart_10_ml	120.39
scaffold241_size160129	Dcart_10_ml	133.404
scaffold2423_size34594	Dcart_10_ml	346.2545
scaffold2513_size33169	Dcart_10_ml	362.329
scaffold256_size156496	Dcart_10_ml	473.4633333
scaffold257_size156416	Dcart_10_ml	399.065
scaffold2610_size32110	Dcart_10_ml	373.893
scaffold2624_size31986	Dcart_10_ml	517.237
scaffold266_size154512_21815_154512	Dcart_10_ml	352.061
scaffold2858_size29457_1_23279	Dcart_10_ml	391.698
scaffold286_size149392_102121_149392	Dcart_10_ml	109.016
scaffold2968_size28242	Dcart_10_ml	101.923
scaffold2992_size28083_1_21279	Dcart_10_ml	128.558
scaffold3216_size26231_7089_26231	Dcart_10_ml	372.641
scaffold3393_size24719	Dcart_10_ml	448.543
scaffold3416_size24533	Dcart_10_ml	358.397
scaffold348_size135081	Dcart_10_ml	566.687
scaffold355_size133886_33897_49329	Dcart_10_ml	101.923
scaffold355_size133886_51017_96493	Dcart_10_ml	263.754
scaffold357_size133347	Dcart_10_ml	450.7646667
scaffold358_size133034	Dcart_10_ml	698.161
scaffold3648_size22670	Dcart_10_ml	660.387
scaffold3806_size21425	Dcart_10_ml	109.215
scaffold3823_size21345	Dcart_10_ml	360.644
scaffold4111_size19434	Dcart_10_ml	232.0275
scaffold435_size119856_1_53997	Dcart_10_ml	120.8643333
scaffold4502_size17127	Dcart_10_ml	372.021
scaffold4638_size16420	Dcart_10_ml	280.137
scaffold4671_size16242	Dcart_10_ml	86.83633333
scaffold502_size109301	Dcart_10_ml	114.815
scaffold506_size108890	Dcart_10_ml	64.06
scaffold5064_size14350	Dcart_10_ml	143.779
scaffold518_size106715_1_56576	Dcart_10_ml	230.0915
scaffold5329_size13363	Dcart_10_ml	366.427
scaffold5355_size13268	Dcart_10_ml	409.917
scaffold565_size102965_17604_91623	Dcart_10_ml	288.8695
scaffold609_size98609_1_43309	Dcart_10_ml	369.294
scaffold6095_size10687	Dcart_10_ml	104.899
scaffold6151_size10527	Dcart_10_ml	360.644
scaffold62_size300739_3180_300739	Dcart_10_ml	440.974
scaffold622_size97815	Dcart_10_ml	543.906
scaffold627_size97312	Dcart_10_ml	179.8716667
scaffold642_size95752	Dcart_10_ml	281.917
scaffold644_size95635	Dcart_10_ml	144.8055
scaffold646_size95562	Dcart_10_ml	276.271
scaffold649_size95498	Dcart_10_ml	268.467
scaffold67_size295307_199978_295307	Dcart_10_ml	202.2493333
scaffold712_size89738	Dcart_10_ml	190.1063333
scaffold7218_size7647	Dcart_10_ml	195.8403333
scaffold723_size88497	Dcart_10_ml	320.9696667
scaffold772_size85004	Dcart_10_ml	98.947
scaffold804_size82388	Dcart_10_ml	348.871125
scaffold81_size268746	Dcart_10_ml	590.25
scaffold822_size80953	Dcart_10_ml	33.734
scaffold8361_size5378	Dcart_10_ml	105.859
scaffold858_size78635	Dcart_10_ml	550.982
scaffold88_size253350_17842_253350	Dcart_10_ml	541.111
scaffold899_size76113	Dcart_10_ml	77.898
scaffold915_size75070_1_69959	Dcart_10_ml	75.897
scaffold943_size73537	Dcart_10_ml	265.1565
scaffold962_size72594_1_27850	Dcart_10_ml	505.854
scaffold1000_size71224_13342_71224	Dcart_11_ml	422.151
scaffold102_size239724	Dcart_11_ml	458.5838
scaffold1040_size69129_50580_63641	Dcart_11_ml	127.472
scaffold1040_size69129_64029_69129	Dcart_11_ml	356.97
scaffold1072_size67717	Dcart_11_ml	374.389
scaffold110_size232291	Dcart_11_ml	48.285
scaffold1104_size66566	Dcart_11_ml	534.495
scaffold111_size323804_94735_323804	Dcart_11_ml	646.8425
scaffold1118_size65862	Dcart_11_ml	353.343
scaffold1139_size64486_45753_64486	Dcart_11_ml	178.386
scaffold11722_size1868	Dcart_11_ml	646.955
scaffold122_size220220	Dcart_11_ml	629.759
scaffold1222_size60216	Dcart_11_ml	380.973
scaffold1245_size59386	Dcart_11_ml	130.7095
scaffold1282_size58349	Dcart_11_ml	550.751
scaffold1323_size56594	Dcart_11_ml	331.887
scaffold1474_size52019	Dcart_11_ml	226.319
scaffold1506_size51223	Dcart_11_ml	179.485
scaffold1516_size50849	Dcart_11_ml	176.915
scaffold156_size201673	Dcart_11_ml	482.6245
scaffold169_size195693	Dcart_11_ml	479.4085
scaffold1740_size46129_15235_46129	Dcart_11_ml	568.446
scaffold180_size190941	Dcart_11_ml	537.8646
scaffold1821_size44494	Dcart_11_ml	346.9505
scaffold19_size383955	Dcart_11_ml	340.1235
scaffold190_size185643	Dcart_11_ml	466.5302
scaffold1915_size42661_1_32826	Dcart_11_ml	355.448
scaffold199_size205611_1_179392	Dcart_11_ml	599.4035
scaffold202_size177886	Dcart_11_ml	650.781
scaffold2020_size40915_17393_40915	Dcart_11_ml	181.5
scaffold203_size177502	Dcart_11_ml	571.833
scaffold2117_size78516_1_25873	Dcart_11_ml	423.858
scaffold2119_size39312_1_9676	Dcart_11_ml	355.738
scaffold2164_size38589	Dcart_11_ml	140.604
scaffold2220_size72160_41051_72160	Dcart_11_ml	347.502
scaffold2399_size34921	Dcart_11_ml	571.29
scaffold24_size363319	Dcart_11_ml	624.3965
scaffold248_size158012_50775_158012	Dcart_11_ml	608.231
scaffold2571_size32452	Dcart_11_ml	217.367
scaffold260_size156017	Dcart_11_ml	472.185
scaffold2775_size30282	Dcart_11_ml	566.097
scaffold279_size150801	Dcart_11_ml	384.252
scaffold2812_size29855	Dcart_11_ml	183.268
scaffold283_size149805	Dcart_11_ml	427.748
scaffold2996_size28027	Dcart_11_ml	356.736
scaffold3048_size27585	Dcart_11_ml	438.2655
scaffold308_size143852_1_111261	Dcart_11_ml	497.787
scaffold3155_size26789	Dcart_11_ml	287.112
scaffold3172_size26655	Dcart_11_ml	358.038
scaffold3367_size24899	Dcart_11_ml	420.486
scaffold340_size137094	Dcart_11_ml	636.2015
scaffold343_size136277_1_109430	Dcart_11_ml	416.2505
scaffold3655_size22632	Dcart_11_ml	169.21
scaffold3670_size22506	Dcart_11_ml	174.677
scaffold378_size129203	Dcart_11_ml	633.72
scaffold3812_size21393	Dcart_11_ml	261.0345
scaffold388_size127310	Dcart_11_ml	680.172
scaffold39_size327835	Dcart_11_ml	644.6563333
scaffold392_size126318	Dcart_11_ml	448.824
scaffold398_size125634_32528_125634	Dcart_11_ml	180.973
scaffold4008_size20019	Dcart_11_ml	355.448
scaffold413_size123513_1_118589	Dcart_11_ml	418.584
scaffold4182_size19016	Dcart_11_ml	360.004
scaffold4265_size18514	Dcart_11_ml	511.6945
scaffold444_size118246	Dcart_11_ml	75.433
scaffold445_size118206	Dcart_11_ml	550.751
scaffold496_size109983	Dcart_11_ml	565.774
scaffold5618_size12248_1_7553	Dcart_11_ml	500.288
scaffold585_size101314	Dcart_11_ml	228.81
scaffold6631_size9061	Dcart_11_ml	487.7485
scaffold682_size92445	Dcart_11_ml	603.1345
scaffold701_size90653_60799_90653	Dcart_11_ml	488.1175
scaffold72_size289445_1_282217	Dcart_11_ml	332.1615
scaffold738_size87752	Dcart_11_ml	506.066
scaffold739_size87655	Dcart_11_ml	85.4025
scaffold771_size85215	Dcart_11_ml	253.203
scaffold824_size80871	Dcart_11_ml	13.09
scaffold848_size79427	Dcart_11_ml	411.842
scaffold891_size76302_1_70550	Dcart_11_ml	548.529
scaffold954_size73166_38226_73166	Dcart_11_ml	353.343
scaffold96_size246531	Dcart_11_ml	45.6745
scaffold1016_size70254_1_16644	Dcart_12_ml	297.391
scaffold1019_size70080_9481_70080	Dcart_12_ml	358.937
scaffold105_size238992_1_23709	Dcart_12_ml	413.291
scaffold1100_size66903	Dcart_12_ml	351.24
scaffold11199_size2038	Dcart_12_ml	325.632
scaffold1128_size65282	Dcart_12_ml	354.028
scaffold1134_size64865_39403_64865	Dcart_12_ml	365.603
scaffold114_size228622	Dcart_12_ml	453.356
scaffold121_size220910_23645_220910	Dcart_12_ml	417.316
scaffold1237_size59631_29486_52941	Dcart_12_ml	378.784
scaffold1240_size59597_8958_59597	Dcart_12_ml	271.991
scaffold1242_size59489	Dcart_12_ml	424.807
scaffold1254_size59113	Dcart_12_ml	407.612
scaffold1278_size58447_1_44990	Dcart_12_ml	414.508
scaffold13983_size1466	Dcart_12_ml	171.439
scaffold140_size210228	Dcart_12_ml	369.8589091
scaffold1422_size53383	Dcart_12_ml	37.378
scaffold1438_size52779_1_14627	Dcart_12_ml	75.625
scaffold15_size407977_1_392505	Dcart_12_ml	205.64425
scaffold1531_size50407	Dcart_12_ml	339.94
scaffold1592_size49153_1_46554	Dcart_12_ml	325.9955
scaffold1606_size48782	Dcart_12_ml	331.855
scaffold161_size199869	Dcart_12_ml	197.761
scaffold1671_size47602	Dcart_12_ml	64.567
scaffold17322_size1076	Dcart_12_ml	245.873
scaffold1744_size45944_31254_45944	Dcart_12_ml	63.971
scaffold1749_size45776	Dcart_12_ml	270.0635
scaffold177_size193028	Dcart_12_ml	371.4835
scaffold189_size185785_1_169063	Dcart_12_ml	275.9106667
scaffold2026_size40853	Dcart_12_ml	281.052
scaffold206_size175734_120145_175734	Dcart_12_ml	331.1085
scaffold2176_size38361	Dcart_12_ml	0
scaffold2195_size38120	Dcart_12_ml	373.0865
scaffold2262_size36979_1_7353	Dcart_12_ml	286.7685
scaffold228_size165064_58864_165064	Dcart_12_ml	240.3165
scaffold2284_size36593_4922_36593	Dcart_12_ml	385.5665
scaffold2299_size36366	Dcart_12_ml	409.19
scaffold2323_size36060	Dcart_12_ml	255.45
scaffold2412_size34706	Dcart_12_ml	117.823
scaffold245_size158372_1_115199	Dcart_12_ml	354.028
scaffold2490_size33602_1_14208	Dcart_12_ml	49.841
scaffold258_size156316_38422_156316	Dcart_12_ml	118.5885
scaffold265_size154864	Dcart_12_ml	291.552
scaffold2746_size30589	Dcart_12_ml	419.168
scaffold2839_size29649	Dcart_12_ml	386.507
scaffold2869_size29276	Dcart_12_ml	59.652
scaffold2971_size28221	Dcart_12_ml	235.5975
scaffold299_size145917	Dcart_12_ml	451.19
scaffold3017_size27884	Dcart_12_ml	68.193
scaffold314_size142537	Dcart_12_ml	296.49675
scaffold3254_size25896	Dcart_12_ml	408.656
scaffold3362_size24926	Dcart_12_ml	254.135
scaffold3375_size24846	Dcart_12_ml	394.457
scaffold3448_size24273	Dcart_12_ml	331.225
scaffold3628_size22823	Dcart_12_ml	62.767
scaffold3715_size22177	Dcart_12_ml	314.5215
scaffold375_size129894_1_72924	Dcart_12_ml	342.071
scaffold391_size126562	Dcart_12_ml	316.147
scaffold399_size125554_70577_125554	Dcart_12_ml	289.191
scaffold406_size124504	Dcart_12_ml	331.796
scaffold426_size121363	Dcart_12_ml	203.814
scaffold4294_size18329	Dcart_12_ml	436.241
scaffold4547_size16861	Dcart_12_ml	99.823
scaffold458_size116233_1_49904	Dcart_12_ml	362.251
scaffold4585_size16743	Dcart_12_ml	399.612
scaffold4601_size32715_1_15878	Dcart_12_ml	343.606
scaffold4719_size15950	Dcart_12_ml	134.386
scaffold4858_size15293	Dcart_12_ml	246.504
scaffold4957_size14837	Dcart_12_ml	386.507
scaffold519_size106598	Dcart_12_ml	338.8555
scaffold524_size106369	Dcart_12_ml	354.446
scaffold527_size106210	Dcart_12_ml	296.289
scaffold543_size104772	Dcart_12_ml	436.241
scaffold551_size104245	Dcart_12_ml	306.1915
scaffold559_size103646	Dcart_12_ml	322.75
scaffold568_size102940_1_45127	Dcart_12_ml	346.7603333
scaffold568_size102940_54574_102940	Dcart_12_ml	122.7743333
scaffold626_size97461	Dcart_12_ml	332.4535
scaffold63_size299114_83546_299114	Dcart_12_ml	269.5626667
scaffold638_size96149	Dcart_12_ml	257.3026667
scaffold6498_size9431	Dcart_12_ml	380.677
scaffold704_size90447_38040_90447	Dcart_12_ml	313.8475
scaffold7193_size7699	Dcart_12_ml	404.259
scaffold746_size87212	Dcart_12_ml	290.279
scaffold7570_size6858	Dcart_12_ml	5.967
scaffold761_size85979	Dcart_12_ml	332.1363333
scaffold7617_size6757	Dcart_12_ml	67.597
scaffold7786_size6352	Dcart_12_ml	66.393
scaffold799_size82903	Dcart_12_ml	259
scaffold812_size81392	Dcart_12_ml	295.203
scaffold836_size80103	Dcart_12_ml	255.45
scaffold845_size79519	Dcart_12_ml	339.842
scaffold872_size77393_2767_77393	Dcart_12_ml	303.89
scaffold890_size76366	Dcart_12_ml	357.736
scaffold916_size74993	Dcart_12_ml	474.249
scaffold953_size73167	Dcart_12_ml	242.029
scaffold1034_size69406	Dcart_13_ml	554.106
scaffold1150_size63898	Dcart_13_ml	68.428
scaffold1161_size63393	Dcart_13_ml	347.642
scaffold11762_size1858	Dcart_13_ml	317.478
scaffold1250_size59272	Dcart_13_ml	455.9926667
scaffold1260_size58909_3482_58909	Dcart_13_ml	251.399
scaffold1292_size57990	Dcart_13_ml	336.007
scaffold132_size212296_112435_203624	Dcart_13_ml	437.503
scaffold1329_size56311	Dcart_13_ml	320.52
scaffold1338_size56024	Dcart_13_ml	395.196
scaffold1355_size55413	Dcart_13_ml	274.346
scaffold1442_size52756_16113_52756	Dcart_13_ml	391.558
scaffold14442_size1412	Dcart_13_ml	374.528
scaffold1486_size51666	Dcart_13_ml	462.586
scaffold1487_size51639	Dcart_13_ml	284.796
scaffold1500_size51411	Dcart_13_ml	550.027
scaffold1530_size50420	Dcart_13_ml	584.294
scaffold155_size202388_1_190451	Dcart_13_ml	0
scaffold1604_size48831	Dcart_13_ml	568.728
scaffold1635_size67008	Dcart_13_ml	302.133
scaffold1704_size46925	Dcart_13_ml	2.254
scaffold172_size194879_1_168554	Dcart_13_ml	259.964
scaffold1743_size45988	Dcart_13_ml	379.644
scaffold184_size188554_1_50383	Dcart_13_ml	416.937
scaffold188_size186010_90920_186010	Dcart_13_ml	392.364
scaffold2034_size40678	Dcart_13_ml	296.1315
scaffold22_size376226_264618_376226	Dcart_13_ml	270.009
scaffold221_size168969	Dcart_13_ml	473.399
scaffold227_size165762	Dcart_13_ml	462.399
scaffold2322_size36067	Dcart_13_ml	312.551
scaffold2567_size32490	Dcart_13_ml	369.8865
scaffold2577_size32400_14578_32400	Dcart_13_ml	321.043
scaffold2587_size32316	Dcart_13_ml	193.487
scaffold263_size155743	Dcart_13_ml	420.083
scaffold2797_size29978	Dcart_13_ml	346.27
scaffold281_size150516	Dcart_13_ml	211.159
scaffold303_size144657	Dcart_13_ml	530.784
scaffold3036_size27701	Dcart_13_ml	63.085
scaffold311_size143234_37943_143234	Dcart_13_ml	14.852
scaffold3181_size26571	Dcart_13_ml	374.528
scaffold3349_size24998	Dcart_13_ml	343.2
scaffold339_size137184_1_49559	Dcart_13_ml	424.298
scaffold352_size134435	Dcart_13_ml	406.727
scaffold354_size137499	Dcart_13_ml	361.2595
scaffold3799_size21522	Dcart_13_ml	376.5345
scaffold3851_size21163_2886_21163	Dcart_13_ml	231.81
scaffold389_size127122	Dcart_13_ml	304.157
scaffold3922_size20702	Dcart_13_ml	87.979
scaffold395_size126085	Dcart_13_ml	42.4625
scaffold4070_size19635	Dcart_13_ml	152.071
scaffold4241_size18668	Dcart_13_ml	309.923
scaffold437_size119571_5263_119571	Dcart_13_ml	314.355
scaffold456_size116607	Dcart_13_ml	36.612
scaffold4576_size16778	Dcart_13_ml	338.243
scaffold5179_size13930	Dcart_13_ml	289.852
scaffold530_size106139	Dcart_13_ml	569.272
scaffold531_size105989_56306_105989	Dcart_13_ml	326.666
scaffold569_size102824	Dcart_13_ml	278.9523333
scaffold577_size102135_1_61380	Dcart_13_ml	137.653
scaffold577_size102135_62327_102135	Dcart_13_ml	37.473
scaffold5879_size11478_1_5396	Dcart_13_ml	329.741
scaffold593_size100016_1_86739	Dcart_13_ml	228.9783333
scaffold6104_size10668	Dcart_13_ml	209.592
scaffold614_size98273_23286_91908	Dcart_13_ml	211.295
scaffold617_size98091_2248_40845	Dcart_13_ml	64.305
scaffold66_size295376	Dcart_13_ml	442.50825
scaffold666_size93894	Dcart_13_ml	208.025
scaffold675_size93363	Dcart_13_ml	228.003
scaffold68_size295018	Dcart_13_ml	538.687
scaffold691_size91562	Dcart_13_ml	282.691
scaffold706_size90341	Dcart_13_ml	489.8295
scaffold716_size89557_1_50083	Dcart_13_ml	538.687
scaffold719_size89111_1_79928	Dcart_13_ml	548.088
scaffold74_size287411	Dcart_13_ml	17.6054
scaffold741_size87643	Dcart_13_ml	148.6905
scaffold745_size87221_27563_87221	Dcart_13_ml	341.176
scaffold75_size282366_1_238978	Dcart_13_ml	501.9441429
scaffold752_size86779_13486_60574	Dcart_13_ml	390.0055
scaffold753_size86647_1_65309	Dcart_13_ml	559.107
scaffold796_size83033_28139_83033	Dcart_13_ml	252.966
scaffold817_size81124	Dcart_13_ml	205.2175
scaffold8285_size5475	Dcart_13_ml	343.2265
scaffold885_size76559	Dcart_13_ml	531.425
scaffold892_size76273	Dcart_13_ml	433.738
scaffold9030_size4594	Dcart_13_ml	86.189
scaffold906_size75547	Dcart_13_ml	257.8655
scaffold975_size72007	Dcart_13_ml	96.971
scaffold9842_size3277	Dcart_13_ml	575.325
scaffold989_size71593_24998_71593	Dcart_13_ml	214.462
scaffold1007_size70688	Dcart_14_ml	149.9986667
scaffold1021_size70071_13362_70071	Dcart_14_ml	191.642
scaffold1036_size69350_1_57324	Dcart_14_ml	321.495
scaffold1041_size69110_9289_69110	Dcart_14_ml	339.782
scaffold1061_size68153_14989_68153	Dcart_14_ml	209.371
scaffold107_size235556_1_213561	Dcart_14_ml	363.967
scaffold1122_size65561	Dcart_14_ml	430.209
scaffold1219_size60305	Dcart_14_ml	82.858
scaffold1272_size58608	Dcart_14_ml	386.617
scaffold1287_size58139	Dcart_14_ml	480.707
scaffold1317_size57025_28148_57025	Dcart_14_ml	464.439
scaffold134_size212041_39788_212041	Dcart_14_ml	459.0883333
scaffold1352_size55435	Dcart_14_ml	428.389
scaffold1472_size52099	Dcart_14_ml	409.921
scaffold1481_size51834_5205_51834	Dcart_14_ml	62.831
scaffold1535_size50304	Dcart_14_ml	460.1915
scaffold1557_size49802	Dcart_14_ml	322.595
scaffold1559_size49765_22344_49765	Dcart_14_ml	517.633
scaffold1615_size48513_1_45445	Dcart_14_ml	533.0515
scaffold1751_size45677	Dcart_14_ml	366.8455
scaffold1753_size45676	Dcart_14_ml	203.78375
scaffold1768_size45272	Dcart_14_ml	566.241
scaffold1884_size43193	Dcart_14_ml	281.305
scaffold1909_size42769_1_11066	Dcart_14_ml	502.036
scaffold1909_size42769_11144_42769	Dcart_14_ml	309.1275
scaffold1971_size46425_1_41751	Dcart_14_ml	513.681
scaffold1982_size41520	Dcart_14_ml	164.433
scaffold2150_size38921	Dcart_14_ml	390.029
scaffold2270_size36899	Dcart_14_ml	351.417
scaffold243_size159595	Dcart_14_ml	314.41425
scaffold2620_size32030	Dcart_14_ml	130.452
scaffold267_size154389	Dcart_14_ml	439.3868571
scaffold2739_size30708_8132_30708	Dcart_14_ml	333.127
scaffold2936_size28553	Dcart_14_ml	469.217
scaffold3020_size27854	Dcart_14_ml	359.269
scaffold3058_size27522_1838_27522	Dcart_14_ml	169.677
scaffold3119_size26975	Dcart_14_ml	323.093
scaffold3161_size26716_12815_26716	Dcart_14_ml	89.578
scaffold326_size140383_1_120161	Dcart_14_ml	160.224
scaffold328_size140321	Dcart_14_ml	364.387
scaffold3348_size25008	Dcart_14_ml	519.458
scaffold3550_size23382	Dcart_14_ml	138.7755
scaffold3755_size21899	Dcart_14_ml	459.474
scaffold381_size128669	Dcart_14_ml	135.973
scaffold394_size126088	Dcart_14_ml	318.703
scaffold402_size124957	Dcart_14_ml	161.14
scaffold4250_size18632	Dcart_14_ml	491.723
scaffold427_size121302_1_112303	Dcart_14_ml	426.2893333
scaffold4391_size17722_3118_17722	Dcart_14_ml	144.713
scaffold4420_size17581_2715_17581	Dcart_14_ml	149.11
scaffold463_size114794	Dcart_14_ml	426.8625
scaffold466_size114196	Dcart_14_ml	346.0645
