scaffold	chrm	chrm_pos	start	end
scaffold4_size532381	Dsyl_1_ml	612.153	179265	204502
scaffold960_size96123	Dsyl_2_ml	138.504	19434	27498
scaffold440_size136064	Dsyl_3_ml	630.453	21224	30504
scaffold440_size136064	Dsyl_3_ml	630.453	57262	83483
scaffold618_size118508	Dsyl_4_ml	163.869	101859	112499
scaffold194_size186409	Dsyl_5_ml	248.5785	77367	92754
scaffold1_size1318325_1_614794	Dsyl_13_ml	233.70275	211891	222933
scaffold4450_size29596	Dsyl_13_ml	425.765	14290	24333
scaffold240_size170785	Dsyl_14_ml	672.334	143347	158939
scaffold729_size110201	Dsyl_14_ml	702.4426667	72959	80069
scaffold1090_size90519_1_82767	NA	NA	20425	30145
scaffold1306_size81671	NA	NA	27149	43924
scaffold1364_size79598	NA	NA	39698	50297
scaffold1629_size72063	NA	NA	55612	63799
scaffold1670_size71059	NA	NA	52455	63542
scaffold206_size182533	NA	NA	125250	138964
scaffold2100_size61159	NA	NA	16679	26612
scaffold2209_size58523	NA	NA	23484	36445
scaffold2223_size58263	NA	NA	44669	54727
scaffold2322_size56116	NA	NA	26484	38651
scaffold266_size163898	NA	NA	1020	19885
scaffold2860_size47319	NA	NA	32684	39736
scaffold2906_size46620	NA	NA	11320	43529
scaffold3038_size45107	NA	NA	6769	17149
scaffold3148_size43694	NA	NA	1001	17131
scaffold345_size150338	NA	NA	112960	124911
scaffold3269_size41972	NA	NA	10161	26695
scaffold3321_size41380	NA	NA	8958	20558
scaffold3788_size35591	NA	NA	25663	33663
scaffold3789_size35578	NA	NA	4922	26865
scaffold406_size140071	NA	NA	19099	26283
scaffold463_size133553	NA	NA	45567	56897
scaffold500_size129786	NA	NA	57781	68563
scaffold4228_size31492	NA	NA	19057	26244
scaffold663_size115759	NA	NA	23629	35805
scaffold681_size114002	NA	NA	55412	68811
scaffold756_size108537	NA	NA	89441	101686
