scaffold	pos	zscore	pvalue	adjpvalue	beta	FDRpvalue
scaffold4_size532381	192718	5.52724590388608	2.18013533950167e-06	5.10460557544982e-06	0.00022755895522002	0.0302750025618258
scaffold960_size96123	20703	3.16152049485563	0.00299065008933854	0.00909347252480814	1.69886731181806e-05	0.769856161069436
scaffold440_size136064	66240	-4.09309848276181	0.00020067403828324	0.000732411067014874	-3.85489606238287e-05	0.329034097873217
scaffold440_size136064	66240	-4.09309848276181	0.00020067403828324	0.000732411067014874	-3.85489606238287e-05	0.329034097873217
scaffold618_size118508	102980	-3.77475659455146	0.000520563538905583	0.00184262468910522	-1.91260537940704e-05	0.483676503768571
scaffold194_size186409	82475	6.45464313052648	1.08555197366934e-07	1.00607824032756e-07	0.000195664558417712	0.0040552436759496
scaffold1_size1318325_1_614794	216903	-4.31811715052065	0.000100799738655756	0.000366907271793314	-4.14669995686816e-05	0.235336556246649
scaffold4450_size29596	15546	3.36424096112924	0.00170260137902623	0.00550692370909323	6.03595212184369e-05	0.684674598079174
scaffold240_size170785	154448	-4.06396331736653	0.000219203130885662	0.000799086506607334	-5.62710007818726e-05	0.341339415879348
scaffold729_size110201	73395	-4.41530175110155	7.46278057001401e-05	0.000269484369809621	-7.44612306653487e-05	0.201079233876119
scaffold1090_size90519_1_82767	24889	6.22848820383793	2.25573274918282e-07	2.76166477918018e-07	0.000205082737981997	0.00738317974896247
scaffold1306_size81671	42533	-3.05625991318562	0.00398118651752785	0.011679886558745	-2.94471196243322e-05	0.808179485023041
scaffold1364_size79598	49992	-3.33727994222949	0.00183670773823696	0.00589552499883939	-5.76879220639404e-05	0.696495388050535
scaffold1629_size72063	61669	2.10287158670306	0.0418159384407407	0.0827327203258893	3.65935631659548e-05	0.978622133205744
scaffold1670_size71059	59280	-4.88956627429551	1.68233244125805e-05	5.47646654710746e-05	-4.20312974301276e-05	0.0891314991073872
scaffold206_size182533	128436	-5.32958405230648	4.12101508510489e-06	1.09578347229798e-05	-0.000142979030835476	0.0429298634316772
scaffold2100_size61159	17669	-2.59889549406437	0.0130337058856802	0.0320082943753518	-8.06360770983419e-06	0.935742838688438
scaffold2209_size58523	36410	2.76180941110984	0.0086395328194161	0.0226834363244036	5.83338666948071e-05	0.898650695296256
scaffold2223_size58263	53568	7.38799482331853	5.43593837532662e-09	1.08948598113483e-09	0.000167228849077907	0.000345992156855099
scaffold2322_size56116	31233	4.58680581778007	4.37199004609237e-05	0.000154017922862733	9.83235018938126e-05	0.150989945102651
scaffold266_size163898	10866	5.64960896688278	1.46854327033815e-06	3.14062876215618e-06	0.000196717059759638	0.0240772363905622
scaffold2860_size47319	33029	-3.04866706869318	0.00406347496999133	0.0118895262343833	-1.69615970108993e-05	0.811040413549759
scaffold2906_size46620	25182	6.56348622530179	7.63840540971628e-08	6.11425106757906e-08	0.000213832137412787	0.00303682216339612
scaffold3038_size45107	16161	-3.45899680830902	0.00130163113126692	0.0043177582152536	-7.72015355258497e-05	0.642333434457819
scaffold3148_size43694	15709	8.16556858817061	4.72130067244618e-10	1.61379253073533e-11	0.000373208332277143	4.22810980294981e-05
scaffold345_size150338	114542	-3.12550757005685	0.00329986980399683	0.00991423878238161	-2.5077212623051e-05	0.783303054129715
scaffold3269_size41972	24761	5.69971475153037	1.24896993078057e-06	2.56689058420015e-06	0.000308710028734159	0.0216882830564969
scaffold3321_size41380	14350	-3.68614009128122	0.00067537688720005	0.00235500233718229	-3.57287598281535e-05	0.528192441318967
scaffold3788_size35591	32507	-3.47647421439076	0.00123830375763299	0.00412575548722506	-4.55387450437218e-05	0.633351573303106
scaffold3789_size35578	22626	3.7390482217483	0.00057830728356834	0.00203532465308652	0.000160604576669909	0.501848529113701
scaffold406_size140071	25653	-3.94950072786326	0.000309497252248086	0.00111935884607744	-3.44910684185558e-05	0.395629382793421
scaffold463_size133553	46886	-3.65803214862239	0.000733155505510676	0.00254294701662013	-7.86594965521061e-05	0.542348492377336
scaffold500_size129786	62387	-2.24140346805552	0.0306162649198035	0.0644078555996343	-2.59289704111331e-05	0.970334911572541
scaffold4228_size31492	20217	-3.74540750333561	0.000567589781496977	0.0019997077317632	-0.000104028597759032	0.498259749124299
scaffold663_size115759	33907	4.23793310200736	0.000128992104556239	0.000471138317677113	5.79704993085804e-05	0.266646782639044
scaffold681_size114002	58561	3.18658080154492	0.00279187803838952	0.00855868265799895	7.49063515040183e-05	0.759343633924311
scaffold756_size108537	91204	-4.30942897407472	0.000103536161134264	0.000377058964737611	-0.000159387106290859	0.238476346684278
