scaffold	LG	postion
scaffold10178_size5850	Dsyl_1_ml	296.756
scaffold1087_size90686	Dsyl_1_ml	315.105
scaffold1153_size87386	Dsyl_1_ml	335.755
scaffold1154_size87363	Dsyl_1_ml	461.877
scaffold11956_size3095	Dsyl_1_ml	612.256
scaffold123_size217347	Dsyl_1_ml	619.229
scaffold125_size216926_131424_216926	Dsyl_1_ml	423.0816
scaffold1257_size83304	Dsyl_1_ml	543.281
scaffold13_size389424	Dsyl_1_ml	487.0215
scaffold1367_size79526	Dsyl_1_ml	431.163
scaffold139_size209393	Dsyl_1_ml	499.1223333
scaffold147_size204049	Dsyl_1_ml	544.8513333
scaffold1477_size76360	Dsyl_1_ml	376.213
scaffold150_size202192	Dsyl_1_ml	429.393
scaffold1548_size74100	Dsyl_1_ml	250.6345
scaffold1625_size72168	Dsyl_1_ml	496.972
scaffold1634_size71992_1_59480	Dsyl_1_ml	315.625
scaffold1661_size71223	Dsyl_1_ml	240.555
scaffold1754_size69042	Dsyl_1_ml	137.422
scaffold1762_size68892	Dsyl_1_ml	197.207
scaffold17661_size1285	Dsyl_1_ml	419.746
scaffold1950_size64438	Dsyl_1_ml	315.625
scaffold20_size353540	Dsyl_1_ml	611.9888182
scaffold2010_size63137	Dsyl_1_ml	458.783
scaffold2236_size58011	Dsyl_1_ml	469.0635
scaffold2281_size56850	Dsyl_1_ml	578.5113333
scaffold2300_size56502	Dsyl_1_ml	518.004
scaffold2304_size56448	Dsyl_1_ml	191.217
scaffold234_size173289	Dsyl_1_ml	364.577
scaffold2389_size54846	Dsyl_1_ml	285.193
scaffold2509_size52822_24461_52822	Dsyl_1_ml	229.8995
scaffold2511_size52777	Dsyl_1_ml	449.2783333
scaffold262_size165026	Dsyl_1_ml	581.796
scaffold263_size164981	Dsyl_1_ml	584.985
scaffold2630_size50658	Dsyl_1_ml	143.227
scaffold2637_size50602	Dsyl_1_ml	200.2005
scaffold2725_size49358	Dsyl_1_ml	543.673
scaffold2788_size48346	Dsyl_1_ml	422.7225
scaffold28_size330267_233754_330267	Dsyl_1_ml	487.805
scaffold2809_size48125	Dsyl_1_ml	493.3465
scaffold284_size159654	Dsyl_1_ml	365.106
scaffold2849_size47437	Dsyl_1_ml	411.252
scaffold2881_size47067	Dsyl_1_ml	317.733
scaffold2895_size46842	Dsyl_1_ml	189.328
scaffold3039_size45107_4565_17978	Dsyl_1_ml	319.181
scaffold308_size155522	Dsyl_1_ml	197.2686667
scaffold3145_size43732	Dsyl_1_ml	430.448
scaffold325_size153467	Dsyl_1_ml	355.375
scaffold3308_size41534	Dsyl_1_ml	193.725
scaffold3476_size39313	Dsyl_1_ml	225.372
scaffold3512_size38956	Dsyl_1_ml	319.828
scaffold3545_size38580	Dsyl_1_ml	411.252
scaffold3552_size41574	Dsyl_1_ml	259.473
scaffold36_size317712	Dsyl_1_ml	661.024
scaffold3874_size34766	Dsyl_1_ml	316.145
scaffold4_size532381	Dsyl_1_ml	612.153
scaffold403_size140863	Dsyl_1_ml	585.461
scaffold4096_size32529	Dsyl_1_ml	188.34
scaffold43_size309549	Dsyl_1_ml	547.8213333
scaffold4335_size30567	Dsyl_1_ml	198.469
scaffold4390_size30149	Dsyl_1_ml	451.1595
scaffold4412_size29968	Dsyl_1_ml	526.658
scaffold450_size135067_49617_135067	Dsyl_1_ml	544.688
scaffold4520_size28979	Dsyl_1_ml	84.855
scaffold4549_size28763	Dsyl_1_ml	296.405
scaffold468_size132905	Dsyl_1_ml	370.6435
scaffold49_size293829	Dsyl_1_ml	611.1208182
scaffold4913_size26095	Dsyl_1_ml	0
scaffold4965_size25725	Dsyl_1_ml	326.367
scaffold50_size292063	Dsyl_1_ml	496.3707143
scaffold506_size129025_1_112362	Dsyl_1_ml	390.044
scaffold5201_size24248	Dsyl_1_ml	377.452
scaffold5336_size23394	Dsyl_1_ml	220.071
scaffold539_size125780_55421_125780	Dsyl_1_ml	503.283
scaffold5464_size22546_1_5179	Dsyl_1_ml	323.63
scaffold576_size121830	Dsyl_1_ml	528.642
scaffold586_size121191	Dsyl_1_ml	177.154
scaffold596_size120389	Dsyl_1_ml	523.3004
scaffold600_size120342	Dsyl_1_ml	544.152
scaffold6001_size19473	Dsyl_1_ml	323.63
scaffold6035_size19250	Dsyl_1_ml	185.4
scaffold6217_size18355	Dsyl_1_ml	319.308
scaffold630_size117877	Dsyl_1_ml	436.7045
scaffold6639_size16366	Dsyl_1_ml	316.2913333
scaffold67_size261632	Dsyl_1_ml	599.5286667
